movieTitle,releaseYear,productionCompany
Elizabeth,1998,PolyGram Filmed Entertainment
Elizabeth,1998,Kapurfilm
Elizabeth,1998,Working Title Films
Elizabeth,1998,Channel Four Films
Elizabeth,1998,ProsonFilm
Gods and Monsters,1998,Showtime
Gods and Monsters,1998,Flashpoint
Gods and Monsters,1998,BBC Films
Gods and Monsters,1998,Regent Entertainment
Affliction,1997,Largo Entertainment
Affliction,1997,Reisman Productions
Affliction,1997,Kingsgate Films
The Prince of Egypt,1998,DreamWorks Pictures
The Prince of Egypt,1998,DreamWorks Animation
What Dreams May Come,1998,Interscope Communications
Bunny,1998,Blue Sky Studios
Election Night,1998,M&M Productions
The Last Days,1998,Survivors of the Shoah Visual History Foundation
The Thin Red Line,1998,Fox 2000 Pictures
The Thin Red Line,1998,Phoenix Pictures
The Thin Red Line,1998,Geisler-Roberdeau
Armageddon,1998,Touchstone Pictures
Armageddon,1998,Jerry Bruckheimer Films
Armageddon,1998,Valhalla Motion Pictures
Pleasantville,1998,Larger Than Life Productions
The Truman Show,1998,Scott Rudin Productions
A Civil Action,1998,Touchstone Pictures
A Civil Action,1998,Paramount Pictures
A Civil Action,1998,Wildwood Enterprises
A Civil Action,1998,Inc
A Simple Plan,1998,Mutual Film Company
A Simple Plan,1998,Savoy Pictures
A Simple Plan,1998,British Broadcasting Corporation
A Simple Plan,1998,Tele-München
A Simple Plan,1998,UGC-PH
A Simple Plan,1998,Toho-Towa
A Simple Plan,1998,Marubeni
A Simple Plan,1998,Newmarket Capital Group
Central Station,1998,VideoFilmes
Central Station,1998,Riofilme
Central Station,1998,MACT Productions
Central Station,1998,E.S.R. Films L.T.D.
Central Station,1998,Cinematográfica Superfilmes
Out of Sight,1998,Jersey Films
Primary Colors,1998,Mutual Film Company
The Mask of Zorro,1998,Amblin Entertainment
The Mask of Zorro,1998,Zorro Productions
A Bug's Life,1998,Pixar Animation Studios
A Place in the Land,1998,The Woodstock Foundation
American History X,1998,New Line Cinema
American History X,1998,TheTurman-Morrissey Company
Babe: Pig in the City,1998,Kennedy Miller Productions
Beloved,1998,Touchstone Pictures
Beloved,1998,Harpo Films
Beloved,1998,Clinica Estetico
Bulworth,1998,Mulholland Productions
Children of Heaven,1997,Institute for the Intellectual Development of Children and Young Adults
Dancemaker,1998,Four Oaks Foundation
Lenny Bruce: Swear to Tell the Truth,1998,Whyaduck Productions
Little Voice,1998,Scala Productions
Mighty Joe Young,1998,Walt Disney Pictures
Mighty Joe Young,1998,RKO Pictures
More,1998,Bad Clams ProductionsSwell Productions
Mulan,1998,Walt Disney Feature Animation
Patch Adams,1998,Blue Wolf
Patch Adams,1998,Bungalow 78 Productions
Patch Adams,1998,Farrell/Minoff
Quest for Camelot,1998,Warner Bros.
Regret to Inform,1998,Sun Fountain Productions
Tango,1998,Argentina Sono Film
The Horse Whisperer,1998,Touchstone Pictures
Velvet Goldmine,1998,Killer Films
Velvet Goldmine,1998,Newmarket Capital Group
Velvet Goldmine,1998,Film Four
Velvet Goldmine,1998,Goldwyn Films
American Beauty,1999,Jinks/Cohen Company
The Matrix,1999,Warner Bros.
The Matrix,1999,Village Roadshow Pictures
The Matrix,1999,Groucho II Film Partnership
The Matrix,1999,Silver Pictures
The Cider House Rules,1999,Miramax Films
The Cider House Rules,1999,FilmColony
Topsy-Turvy,1999,Thin Man Films
Sleepy Hollow,1999,Paramount Pictures
Sleepy Hollow,1999,Mandalay Pictures
Sleepy Hollow,1999,Scott Rudin Productions
Sleepy Hollow,1999,American Zoetrope
Sleepy Hollow,1999,Tim Burton Productions
Boys Don't Cry,1999,Independent Film Channel Productions
Boys Don't Cry,1999,Killer Films
Boys Don't Cry,1999,Hart-Sharp Entertainment
All About My Mother,1999,El Deseo
All About My Mother,1999,Renn Productions
All About My Mother,1999,France 2 Cinéma
All About My Mother,1999,Via Digital
"Girl, Interrupted",1999,Columbia Pictures
"Girl, Interrupted",1999,Red Wagon Entertainment
King Gimp,1999,MedSchool Maryland
My Mother Dreams the Satan's Disciples in New York,1999,AFI Conservatory
One Day in September,1999,BBC Films
One Day in September,1999,Passion Pictures
Tarzan,1999,Walt Disney Feature Animation
The Red Violin,1998,New Line International
The Red Violin,1998,Channel 4 Films
The Red Violin,1998,Rhombus Media
The Red Violin,1998,Telefilm Canada
The Red Violin,1998,CITY-TV
The Insider,1999,Touchstone Pictures
The Insider,1999,Spyglass Entertainment
The Insider,1999,Forward Pass
The Sixth Sense,1999,Hollywood Pictures
The Sixth Sense,1999,Spyglass Entertainment
The Sixth Sense,1999,The Kennedy/Marshall Company
The Sixth Sense,1999,Barry Mendel Productions
The Talented Mr. Ripley,1999,Mirage Enterprises
The Talented Mr. Ripley,1999,Timnick Films
The Green Mile,1999,Castle Rock Entertainment
The Green Mile,1999,Darkwoods Productions
Being John Malkovich,1999,Gramercy Pictures
Being John Malkovich,1999,Propaganda Films
Magnolia,1999,Ghoulardi Film CompanyJoAnne Sellar Productions
Star Wars: Episode I – The Phantom Menace,1999,Lucasfilm Ltd.
Anna and the King,1999,Fox 2000 Pictures
Anna and the King,1999,Lawrence Bender Productions
Music of the Heart,1999,Craven/Maddalena Productions
Sweet and Lowdown,1999,Sweetland Films
The End of the Affair,1999,Columbia Pictures
Angela's Ashes,1999,Paramount Pictures
Angela's Ashes,1999,Universal Pictures International
Angela's Ashes,1999,Scott Rudin Productions
Angela's Ashes,1999,David Brown Productions
Angela's Ashes,1999,Dirty Hands Productions
Austin Powers: The Spy Who Shagged Me,1999,New Line Cinema
Austin Powers: The Spy Who Shagged Me,1999,Eric's Boy
Austin Powers: The Spy Who Shagged Me,1999,Moving Pictures
Austin Powers: The Spy Who Shagged Me,1999,Team Todd
Bicentennial Man,1999,Touchstone Pictures
Bicentennial Man,1999,Columbia Pictures
Bicentennial Man,1999,1492 Pictures
Bicentennial Man,1999,Laurence Mark Productions
Bicentennial Man,1999,Radiant Productions
Buena Vista Social Club,1999,Arte
Buena Vista Social Club,1999,Instituto Cubano del Arte e Industria Cinematográficos
Buena Vista Social Club,1999,Kintop Pictures
Buena Vista Social Club,1999,Road Movies Filmproduktion
Buena Vista Social Club,1999,Wim Wenders Stiftung
East/West,1999,UGC YM
East/West,1999,Mate Producciones
East/West,1999,NTV-Profit
East/West,1999,France 3 Cinéma
Election,1999,MTV Productions
Election,1999,Bona Fide Productions
Fight Club,1999,Fox 2000 Pictures
Fight Club,1999,Regency Enterprises
Fight Club,1999,Linson Films
Genghis Blues,1999,Wadi Rum Films
Himalaya,1999,Galatée Films
Humdrum,1999,Aardman Animations
Humdrum,1999,Channel 4 Television Corporation
Humdrum,1999,Canal+
Life,1999,Imagine Entertainment
My Grandmother Ironed the King's Shirts,1999,National Film Board of Canada
On the Ropes,1999,Highway Films
Snow Falling on Cedars,1999,Kennedy/Marshall
"South Park: Bigger, Longer & Uncut",1999,Comedy Central Films
"South Park: Bigger, Longer & Uncut",1999,Scott Rudin Productions
"South Park: Bigger, Longer & Uncut",1999,Braniff Productions
Speaking in Strings,1999,CounterPoint Films
Stuart Little,1999,Columbia Pictures
Stuart Little,1999,Red Wagon Entertainment
Stuart Little,1999,Franklin/Waterman Productions
Stuart Little,1999,Global Medien KG
The Hurricane,1999,Universal Pictures
The Hurricane,1999,Beacon Pictures
The Straight Story,1999,Asymmetrical Productions
The Straight Story,1999,Canal+
The Straight Story,1999,FilmFour
The Straight Story,1999,Ciby 2000
The Straight Story,1999,Le Studio Canal+
Titus,1999,Clear Blue Sky Productions
Titus,1999,Overseas Filmgroup
Titus,1999,Urania Pictures
Titus,1999,NDF International
Toy Story 2,1999,Pixar Animation Studios
Gladiator,2000,DreamWorks Pictures
Gladiator,2000,Universal Pictures
Gladiator,2000,Scott Free Productions
Gladiator,2000,Red Wagon Entertainment
"Crouching Tiger, Hidden Dragon",2000,Columbia Pictures Film Production Asia
"Crouching Tiger, Hidden Dragon",2000,Good Machine International
"Crouching Tiger, Hidden Dragon",2000,Edko Films
"Crouching Tiger, Hidden Dragon",2000,Zoom Hunt Productions
"Crouching Tiger, Hidden Dragon",2000,China Film Co-production Corp.
"Crouching Tiger, Hidden Dragon",2000,Asia Union Film & Entertainment
Traffic,2000,Bedford Falls Productions
Traffic,2000,Laura Bickford Productions
Traffic,2000,Initial Entertainment Group
Erin Brockovich,2000,Universal Pictures
Erin Brockovich,2000,Columbia Pictures
Erin Brockovich,2000,Jersey Films
Almost Famous,2000,DreamWorks Pictures
Almost Famous,2000,Columbia Pictures
Almost Famous,2000,Vinyl Films
How the Grinch Stole Christmas,2000,Universal Pictures
How the Grinch Stole Christmas,2000,Imagine Entertainment
Wonder Boys,2000,Paramount Pictures
Wonder Boys,2000,BBC Films
Wonder Boys,2000,Curtis Hanson Productions
Wonder Boys,2000,Marubeni
Wonder Boys,2000,MFF Feature Film Productions
Wonder Boys,2000,Mutual Film Company
Wonder Boys,2000,Scott Rudin Productions
Wonder Boys,2000,Tele München Fernseh Produktionsgesellschaft
Wonder Boys,2000,Toho-Towa
Pollock,2000,Zeke Films
Pollock,2000,Brant-Allen Films
Pollock,2000,Fred Berner Films
U-571,2000,Dino De Laurentiis Company
U-571,2000,Canal+ Image
Father and Daughter,2000,CinéTé FilmproductieCloudrunner Ltd
Into the Arms of Strangers: Stories of the Kindertransport,2000,United States Holocaust Memorial Museum
Quiero ser (I want to be...),2000,Hochschule für Fernsehen und Film München
Billy Elliot,2000,Universal Pictures
Billy Elliot,2000,StudioCanal
Billy Elliot,2000,BBC Films
Billy Elliot,2000,Working Title Films
Billy Elliot,2000,Tiger Aspect Pictures
Quills,2000,Industry Entertainment
Quills,2000,Walrus & Associates
The Patriot,2000,Columbia Pictures
The Patriot,2000,Centropolis Entertainment
The Patriot,2000,Mutual Film Company
Cast Away,2000,ImageMovers
Cast Away,2000,Playtone
Malèna,2000,Medusa Film
Malèna,2000,Miramax Films
Malèna,2000,Pacific Pictures
Malèna,2000,Tele+
"O Brother, Where Art Thou?",2000,Touchstone Pictures
"O Brother, Where Art Thou?",2000,Universal Pictures
"O Brother, Where Art Thou?",2000,StudioCanal
"O Brother, Where Art Thou?",2000,Working Title Films
"O Brother, Where Art Thou?",2000,Blind Bard Pictures
Shadow of the Vampire,2000,BBC Films
Shadow of the Vampire,2000,Saturn Films
The Contender,2000,CinerentaBattleground ProductionsSE8 GroupCinecontender Productions
The Perfect Storm,2000,BaltimoreSpring Creek Pictures
The Perfect Storm,2000,Radiant Productions
You Can Count on Me,2000,Hart Sharp Entertainment
You Can Count on Me,2000,The Shooting Gallery
You Can Count on Me,2000,Cappa Productions
102 Dalmatians,2000,Walt Disney Pictures
Amores perros,2000,Zeta EntertainmentAlta Vista Films
Curtain Call,2000,Braverman Productions
Dancer in the Dark,2000,Zentropa Entertainments
Dancer in the Dark,2000,Canal+
Dancer in the Dark,2000,FilmFour
Dancer in the Dark,2000,France 3 Cinéma
Hollow Man,2000,Columbia Pictures
Hollow Man,2000,Red Wagon Productions
Hollow Man,2000,Global Entertainment Productions GmbH & Company Medien KG
Legacy,2000,Nomadic Pictures
Meet the Parents,2000,TriBeCa Productions
Meet the Parents,2000,Nancy Tenenbaum Productions
Rejected,2000,Bitter Films
Requiem for a Dream,2000,Thousand Words
Requiem for a Dream,2000,Protozoa Pictures
Sound and Fury,2000,Public Policy Productions
Space Cowboys,2000,Village Roadshow Pictures
Space Cowboys,2000,Clipsal Films
Space Cowboys,2000,Malpaso Productions
Space Cowboys,2000,Mad Chance Productions
The Cell,2000,RadicalMedia
The Emperor's New Groove,2000,Walt Disney Feature Animation
The Man on Lincoln's Nose,2000,Adama Films
Vatel,2000,Gaumont
Vatel,2000,Légende Entreprises
Vatel,2000,Canal+
Vatel,2000,Nomad Films
Vatel,2000,TF1 Films Production
Vatel,2000,Timothy Burrill Productions
A Beautiful Mind,2001,Universal Pictures
A Beautiful Mind,2001,DreamWorks Pictures
A Beautiful Mind,2001,Imagine Entertainment
The Lord of the Rings: The Fellowship of the Ring,2001,WingNut Films
The Lord of the Rings: The Fellowship of the Ring,2001,New Line Cinema
Moulin Rouge!,2001,Bazmark Productions
Black Hawk Down,2001,Columbia Pictures
Black Hawk Down,2001,Revolution Studios
Black Hawk Down,2001,Jerry Bruckheimer Films
Black Hawk Down,2001,Scott Free Productions
Gosford Park,2001,USA Films
Gosford Park,2001,Capitol Films
Gosford Park,2001,The Film Council
Gosford Park,2001,Sandcastle 5 Productions
Gosford Park,2001,Chicagofilms
Gosford Park,2001,Medusa Film
"Monsters, Inc.",2001,Pixar Animation Studios
Pearl Harbor,2001,Touchstone Pictures
Pearl Harbor,2001,Jerry Bruckheimer Films
Iris,2001,Miramax Films
Iris,2001,BBC Films
Iris,2001,Intermedia Films
Iris,2001,Mirage Enterprises
Iris,2001,Fox Iris Productions
Monster's Ball,2001,Lee Daniels Entertainment
Shrek,2001,DreamWorks Animation
Shrek,2001,PDI/DreamWorks
Training Day,2001,Village Roadshow Pictures
Training Day,2001,Outlaw Productions
For the Birds,2000,Pixar Animation Studios
No Man's Land,2001,Fabrica
The Accountant,2001,Ginny Mule Pictures
Thoth,2001,Amateur Rabbit
Amélie,2001,Claudie Ossard Productions
Amélie,2001,UGC
Amélie,2001,Victoires Productions
Amélie,2001,Tapioca Films
Amélie,2001,France 3 Cinéma
Amélie,2001,MMC Independent[de]
Amélie,2001,Sofica Sofinergie 5
Amélie,2001,Film- und Medienstiftung NRW[de]
Amélie,2001,Canal+
In the Bedroom,2001,Good Machine
In the Bedroom,2001,Eastern Standard Film Company
In the Bedroom,2001,GreeneStreet Films
Harry Potter and the Philosopher's Stone,2001,Warner Bros. Pictures
Harry Potter and the Philosopher's Stone,2001,Heyday Films
Harry Potter and the Philosopher's Stone,2001,1492 Pictures
A.I. Artificial Intelligence,2001,DreamWorks Pictures
A.I. Artificial Intelligence,2001,Amblin Entertainment
A.I. Artificial Intelligence,2001,Stanley Kubrick Productions
Ali,2001,Columbia Pictures
Ali,2001,Peters Entertainment
Ali,2001,Forward Pass
Ali,2001,Overbrook Films
Memento,2000,Summit Entertainment
Memento,2000,Team Todd
Artists and Orphans: A True Drama,2001,Not By Chance Productions Inc.
Bridget Jones's Diary,2001,Universal Pictures
Bridget Jones's Diary,2001,StudioCanal
Bridget Jones's Diary,2001,Working Title Films
Bridget Jones's Diary,2001,Little Bird
Children Underground,2001,Belzberg Films
Elling,2001,Maipo Film- og TV Produksjon
Ghost World,2001,Advanced Medien
Ghost World,2001,Granada Film
Ghost World,2001,Jersey Shore
Ghost World,2001,Mr. Mudd
I Am Sam,2001,The Bedford Falls Company
Jimmy Neutron: Boy Genius,2001,Nickelodeon Movies
Jimmy Neutron: Boy Genius,2001,O Entertainment
Jimmy Neutron: Boy Genius,2001,DNA Productions
Kate & Leopold,2001,Konrad Pictures
Lagaan,2001,Aamir Khan Productions
LaLee's Kin: The Legacy of Cotton,2001,Maysles Films Inc.
Mulholland Drive,2001,Les Films Alain Sarde
Mulholland Drive,2001,Asymmetrical Productions
Mulholland Drive,2001,Babbo Inc.
Mulholland Drive,2001,Le Studio Canal+
Mulholland Drive,2001,The Picture Factory
Promises,2001,Promises Film Project
Sexy Beast,2000,FilmFour
Sexy Beast,2000,Recorded Picture Company
Sing!,2001,KCET
Sing!,2001,American Film Foundation
Son of the Bride,2001,Patagonik Film Group
Son of the Bride,2001,Pol-ka
The Affair of the Necklace,2001,Alcon Entertainment
The Man Who Wasn't There,2001,Working Title Films
The Man Who Wasn't There,2001,Mike Zoss Productions
The Royal Tenenbaums,2001,Touchstone Pictures
The Royal Tenenbaums,2001,American Empirical Pictures
Vanilla Sky,2001,Cruise/Wagner Productions
Vanilla Sky,2001,Vinyl Films
Vanilla Sky,2001,Sogecine
Vanilla Sky,2001,Summit Entertainment
War Photographer,2001,Christian Frei Filmproductions
Chicago,2002,Producer Circle Co.
Chicago,2002,Zadan/Meron Production
The Pianist,2002,Canal+
The Pianist,2002,Studio Babelsberg
The Pianist,2002,StudioCanal
Frida,2002,Ventanarosa
Frida,2002,Lions Gate Films
The Lord of the Rings: The Two Towers,2002,WingNut Films
The Lord of the Rings: The Two Towers,2002,New Line Cinema
The Hours,2002,Miramax Films
Road to Perdition,2002,The Zanuck Company
Adaptation,2002,Columbia Pictures
Adaptation,2002,Intermedia Films
Adaptation,2002,Magnet Productions
Adaptation,2002,Clinica Estetico Productions
Talk to Her,2002,El Deseo S.A.
8 Mile,2002,Universal Pictures
8 Mile,2002,Imagine Entertainment
8 Mile,2002,Mikona Productions GmbH & Co. KG
Bowling for Columbine,2002,United Artists
Bowling for Columbine,2002,Alliance Atlantis
Bowling for Columbine,2002,Salter Street Films
Bowling for Columbine,2002,Dog Eat Dog Films
Spirited Away,2001,Studio Ghibli
The ChubbChubbs!,2002,Columbia Pictures
The ChubbChubbs!,2002,Sony Pictures Imageworks
Twin Towers,2002,MoPo Productions
Twin Towers,2002,Wolf Films
Twin Towers,2002,Universal Television
Twin Towers,2002,Shape Pictures
Gangs of New York,2002,Touchstone Pictures[a]
Gangs of New York,2002,Miramax Films
Gangs of New York,2002,Alberto Grimaldi Productions
Far from Heaven,2002,Vulcan Productions
Far from Heaven,2002,Killer Films
Far from Heaven,2002,John Wells Productions
Far from Heaven,2002,Section Eight
About Schmidt,2002,New Line Cinema
Catch Me If You Can,2002,DreamWorks Pictures
Catch Me If You Can,2002,Amblin Entertainment
Catch Me If You Can,2002,Parkes/MacDonald Productions
Catch Me If You Can,2002,Kemp Company
Catch Me If You Can,2002,Splendid Pictures
Spider-Man,2002,Columbia Pictures
Spider-Man,2002,Marvel Enterprises
Spider-Man,2002,Laura Ziskin Productions
About a Boy,2002,StudioCanal
About a Boy,2002,TriBeCa Productions
About a Boy,2002,Working Title Films
About a Boy,2002,KALIMA Productions GmbH & Co. KG
Daughter from Danang,2002,American Experience
Daughter from Danang,2002,National Asian-American Telecommunications Association
Hero,2002,Sil-Metropole Organisation
Hero,2002,CFCC
I'll Wait for the Next One (J'Attendrai Le Suivant),2002,La Boîte
Ice Age,2002,Blue Sky Studios
Ice Age,2002,20th Century Fox Animation
Johnny Flynton,2002,Hunter FilmsRed Corner Productions
Lilo & Stitch,2002,Walt Disney Feature Animation
Mighty Times: The Legacy of Rosa Parks,2002,Tell the Truth Pictures
Mike's New Car,2002,Pixar Animation Studios
Minority Report,2002,20th Century Fox
Minority Report,2002,DreamWorks Pictures
Minority Report,2002,Amblin Entertainment
Minority Report,2002,Blue Tulip Productions
Mt. Head,2002,Yamamura Animation
My Big Fat Greek Wedding,2002,Gold Circle Films
My Big Fat Greek Wedding,2002,Home Box Office
My Big Fat Greek Wedding,2002,MPH Entertainment
My Big Fat Greek Wedding,2002,Playtone
Spirit: Stallion of the Cimarron,2002,DreamWorks Animation
Star Wars: Episode II – Attack of the Clones,2002,Lucasfilm Ltd.
The Crime of Father Amaro,2002,Almeda FilmsBlu FilmsWanda Films
The Time Machine,2002,Parkes
The Time Machine,2002,MacDonald
The Wild Thornberrys,2002,Klasky Csupo
Treasure Planet,2002,Walt Disney Feature Animation
Unfaithful,2002,Fox 2000 Pictures
Unfaithful,2002,Regency Enterprises
Why Can't We Be a Family Again?,2002,Public Policy Productions
Y tu mamá también,2001,Producciones Anhelo
Zus & Zo,2001,Filmprodukties De Luwte
Zus & Zo,2001,Cine Summer CV
The Lord of the Rings: The Return of the King,2003,WingNut Films
The Lord of the Rings: The Return of the King,2003,New Line Cinema
Master and Commander: The Far Side of the World,2003,20th Century Fox
Master and Commander: The Far Side of the World,2003,Miramax Films
Master and Commander: The Far Side of the World,2003,Universal Pictures
Master and Commander: The Far Side of the World,2003,Samuel Goldwyn Films
Mystic River,2003,Village Roadshow Pictures
Mystic River,2003,Malpaso Productions
Mystic River,2003,NPV Entertainment
Cold Mountain,2003,Mirage Enterprises
Cold Mountain,2003,Bona Fide Productions
Cold Mountain,2003,Castel Film Romania
Cold Mountain,2003,Cattleya
Finding Nemo,2003,Pixar Animation Studios
Lost in Translation,2003,American Zoetrope
Lost in Translation,2003,Elemental Films
The Barbarian Invasions,2003,Canal+
The Barbarian Invasions,2003,Telefilm Canada
Chernobyl Heart,2003,Downtown Community Television Center
Harvie Krumpet,2003,Australian Film Commission
Harvie Krumpet,2003,SBS Independent
Harvie Krumpet,2003,Film Victoria
Monster,2003,Media 8 Entertainment
Monster,2003,DEJ Productions
Monster,2003,Denver & Delilah Films
Monster,2003,VIP Medienfonds
Monster,2003,K/W Productions
The Fog of War,2003,RadicalMedia
Two Soldiers,2003,Shoe Clerk Picture Company
Seabiscuit,2003,DreamWorks Pictures
Seabiscuit,2003,Spyglass Entertainment
Seabiscuit,2003,The Kennedy/Marshall Company
Seabiscuit,2003,Larger Than Life Productions
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Walt Disney Pictures
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Jerry Bruckheimer Films
City of God,2002,O2 Filmes
City of God,2002,VideoFilmes
City of God,2002,Hank LevineFilm
City of God,2002,Globo Filmes
City of God,2002,Studio Canal
City of God,2002,Wild Bunch
The Last Samurai,2003,Warner Bros. Pictures
The Last Samurai,2003,Radar Pictures
The Last Samurai,2003,The Bedford Falls Company
The Last Samurai,2003,Cruise/Wagner Productions
The Last Samurai,2003,Samurai Pictures
The Last Samurai,2003,LLC
Girl with a Pearl Earring,2003,UK Film Council
Girl with a Pearl Earring,2003,Archer Street Productions
Girl with a Pearl Earring,2003,DeLux Productions
Girl with a Pearl Earring,2003,Inside Track
Girl with a Pearl Earring,2003,Film Fund Luxembourg
Girl with a Pearl Earring,2003,Wild Bear Films
House of Sand and Fog,2003,Bisgrove Entertainment
House of Sand and Fog,2003,Cobalt Media Group
In America,2002,Hell's Kitchen Films
In America,2002,East of Harlem (UK) Ltd.
21 Grams,2003,This is that
The Triplets of Belleville,2003,Les Armateurs
The Triplets of Belleville,2003,Champion
The Triplets of Belleville,2003,Vivi Film
The Triplets of Belleville,2003,France 3 Cinéma
The Triplets of Belleville,2003,RGP France
The Triplets of Belleville,2003,BBC Bristol
The Triplets of Belleville,2003,BBC Worldwide
A Mighty Wind,2003,Castle Rock Entertainment
American Splendor,2003,HBO Films
American Splendor,2003,Good Machine
Big Fish,2003,Columbia Pictures
Big Fish,2003,Jinks/Cohen Company
Big Fish,2003,The Zanuck Company
Boundin',2003,Pixar Animation Studios
Brother Bear,2003,Walt Disney Feature Animation
Capturing the Friedmans,2003,HBO Documentary Films
Capturing the Friedmans,2003,Fortissimo Films
Destino,2003,Walt Disney Animation Studios
Dirty Pretty Things,2002,BBC Films
Dirty Pretty Things,2002,Celador Films
Evil,2003,Moviola
Gone Nutty,2002,Blue Sky Studios
Gone Nutty,2002,20th Century Fox Animation
Nibbles,2003,Acme Filmworks
Pieces of April,2003,IFC Productions
Pieces of April,2003,InDigEnt Productions
Pieces of April,2003,Kalkaska Productions
Something's Gotta Give,2003,Columbia Pictures
Something's Gotta Give,2003,Warner Bros. Pictures
Something's Gotta Give,2003,Waverly Films
Squash,2002,Tétra Média
The Cooler,2003,ContentFilm
The Cooler,2003,Pierce/Williams Entertainment
The Cooler,2003,Furst Films
The Cooler,2003,Gryphon Films
The Cooler,2003,Dog Pond Productions
The Cooler,2003,Visionbox Pictures
The Cooler,2003,Zero Gravity Management
The Twilight Samurai,2002,Eisei Gekijo
The Twilight Samurai,2002,Hakuhodo
The Twilight Samurai,2002,Nippon Shuppan Hanbai (Nippan) K.K.
The Twilight Samurai,2002,Nippon TV
The Twilight Samurai,2002,Shochiku
The Twilight Samurai,2002,Sumitomo Corporation
Thirteen,2003,Working Title Films
Thirteen,2003,Antidote Films
Twin Sisters,2002,IDTV Film
Twin Sisters,2002,Chios Media
Twin Sisters,2002,Samsa Film
Twin Sisters,2002,NCRV Televisie
Whale Rider,2002,South Pacific Pictures
Whale Rider,2002,Pandora Film
Whale Rider,2002,New Zealand Film Commission
Whale Rider,2002,NZ On Air
Million Dollar Baby,2004,Lakeshore Entertainment
Million Dollar Baby,2004,Epsilon Motion Pictures
Million Dollar Baby,2004,Malpaso Productions
Million Dollar Baby,2004,Ruddy Morgan Organization
The Aviator,2004,Miramax Films
The Aviator,2004,Warner Bros. Pictures
The Aviator,2004,Forward Pass
The Aviator,2004,Appian Way Productions
The Aviator,2004,IMF
The Aviator,2004,Initial Entertainment Group
Ray,2004,Bristol Bay Productions
Ray,2004,Anvil Films
Ray,2004,Baldwin Entertainment Group
The Incredibles,2004,Pixar Animation Studios
Finding Neverland,2004,FilmColony
Sideways,2004,Michael London Productions
Lemony Snicket's A Series of Unfortunate Events,2004,Nickelodeon Movies
Lemony Snicket's A Series of Unfortunate Events,2004,Parkes/MacDonald Productions
Spider-Man 2,2004,Columbia Pictures
Spider-Man 2,2004,Marvel Enterprises
Spider-Man 2,2004,Laura Ziskin Productions
Eternal Sunshine of the Spotless Mind,2004,Anonymous Content
Eternal Sunshine of the Spotless Mind,2004,This is that
The Motorcycle Diaries,2004,FilmFour
The Motorcycle Diaries,2004,BD Cine
The Motorcycle Diaries,2004,Wildwood Enterprises
The Motorcycle Diaries,2004,Inc
The Sea Inside,2004,Sogepaq
The Sea Inside,2004,UGC Images
Mighty Times: The Children's March,2004,Southern Poverty Law Center
Ryan,2004,Copperheart Entertainment
Wasp,2003,Film4
Wasp,2003,UK Film Council
Hotel Rwanda,2004,United Artists
Hotel Rwanda,2004,Lions Gate Films
Hotel Rwanda,2004,Miracle Pictures
Hotel Rwanda,2004,Seamus
Hotel Rwanda,2004,The Industrial Development Corporation
Hotel Rwanda,2004,Inside Track
Hotel Rwanda,2004,Endgame Entertainment
The Passion of the Christ,2004,Icon Productions
The Phantom of the Opera,2004,Joel Schumacher Productions
The Phantom of the Opera,2004,Odyssey Entertainment
The Phantom of the Opera,2004,Really Useful Films
The Phantom of the Opera,2004,Scion Films
The Polar Express,2004,Castle Rock Entertainment
The Polar Express,2004,Shangri-La Entertainment
The Polar Express,2004,Playtone
The Polar Express,2004,ImageMovers
The Polar Express,2004,Golden Mean Productions
Vera Drake,2004,Thin Man Films
A Very Long Engagement,2004,Warner Bros. France
A Very Long Engagement,2004,TF1 Films Production
Closer,2004,Columbia Pictures
Collateral,2004,Parkes/MacDonald Productions
Collateral,2004,Edge City
Collateral,2004,Forward Pass
Harry Potter and the Prisoner of Azkaban,2004,Warner Bros. Pictures
Harry Potter and the Prisoner of Azkaban,2004,Heyday Films
Harry Potter and the Prisoner of Azkaban,2004,1492 Pictures
Shrek 2,2004,DreamWorks Animation
Shrek 2,2004,PDI/DreamWorks
The Chorus,2004,Canal+
The Chorus,2004,France 2 Cinéma
Before Sunset,2004,Castle Rock Entertainment
Being Julia,2004,Myriad Pictures
Downfall,2004,Constantin Film
Gopher Broke,2004,Blur Studio
House of Flying Daggers,2004,Edko Films
House of Flying Daggers,2004,China Film Co-Production Corporation
House of Flying Daggers,2004,Elite Group Enterprises
House of Flying Daggers,2004,Zhang Yimou Studio
House of Flying Daggers,2004,Beijing New Picture Films
"I, Robot",2004,Davis Entertainment
"I, Robot",2004,Laurence Mark Productions
"I, Robot",2004,Overbrook Films
"I, Robot",2004,Mediastream IV
Kinsey,2004,American Zoetrope
Kinsey,2004,Myriad Pictures
Lorenzo,2004,Walt Disney Feature Animation
Maria Full of Grace,2004,HBO Films
Shark Tale,2004,DreamWorks Animation SKG
Sister Rose's Passion,2004,Storyville Films
Super Size Me,2004,The Con
The Story of the Weeping Camel,2003,Mongolkina
The Village,2004,Touchstone Pictures
The Village,2004,Blinding Edge Pictures
The Village,2004,Scott Rudin Productions
Troy,2004,Warner Bros. Pictures
Troy,2004,Helena Productions
Troy,2004,Latina Pictures
Troy,2004,Radiant Productions
Troy,2004,Plan B Entertainment
Troy,2004,Nimar Studios
