movieTitle,releaseYear,productionCompany
Four Daughters,1938,Warner Bros.
Merrily We Live,1938,Hal Roach Studios
Algiers,1938,Walter Wanger Productions
Mad About Music,1938,Universal Pictures
Marie Antoinette,1938,Metro-Goldwyn-Mayer
The Citadel,1938,Metro-Goldwyn-Mayer British
Army Girl,1938,Republic Pictures
Carefree,1938,RKO Radio Pictures
Test Pilot,1938,Metro-Goldwyn-Mayer
Blockade,1938,Walter Wanger Productions
Sweethearts,1938,Metro-Goldwyn-Mayer
That Certain Age,1938,Universal Pictures
The Goldwyn Follies,1938,Samuel Goldwyn Productions
The Young in Heart,1938,Selznick International Pictures
Vivacious Lady,1938,RKO Radio Pictures
Block-Heads,1938,Hal Roach Studios
Brave Little Tailor,1938,Walt Disney Productions
Breaking the Ice,1938,Principal Productions
Going Places,1938,Warner Bros.
Good Scouts,1938,Walt Disney Productions
La Grande Illusion,1937,Réalisation d'Art Cinématographique
Holiday,1938,Columbia Pictures
Mannequin,1937,Metro-Goldwyn-Mayer
Mother Goose Goes Hollywood,1938,Walt Disney Productions
Of Human Hearts,1938,Metro-Goldwyn-Mayer
Storm Over Bengal,1938,Republic Pictures
The Adventures of Tom Sawyer,1938,Selznick International Pictures
The Buccaneer,1938,Paramount Pictures
The Lady Objects,1938,Columbia Pictures
There Goes My Heart,1938,Hal Roach Studios
Three Comrades,1938,Metro-Goldwyn-Mayer
Under Western Stars,1938,Republic Pictures
White Banners,1938,Warner Bros.
Gone With the Wind,1939,Selznick International Pictures
Gone With the Wind,1939,Metro-Goldwyn-Mayer
Stagecoach,1939,Walter Wanger Productions
The Wizard of Oz,1939,Metro-Goldwyn-Mayer
Wuthering Heights,1939,Samuel Goldwyn Productions
"Goodbye, Mr. Chips",1939,Metro-Goldwyn-Mayer
The Rains Came,1939,20th Century Fox
Sons of Liberty,1939,Warner Bros.
The Ugly Duckling,1939,Walt Disney Productions
When Tomorrow Comes,1939,Universal Pictures
Love Affair,1939,RKO Radio Pictures
The Private Lives of Elizabeth and Essex,1939,Warner Bros. Pictures
Of Mice and Men,1939,Hal Roach
Dark Victory,1939,Warner Bros.
Man of Conquest,1939,Republic Pictures
Babes in Arms,1939,Metro-Goldwyn-Mayer
Beau Geste,1939,Paramount Pictures
First Love,1939,Universal Pictures
Gulliver's Travels,1939,Fleischer Studios
The Hunchback of Notre Dame,1939,RKO Radio Pictures
Captain Fury,1939,Hal Roach Studios
Detouring America,1939,Leon Schlesinger Productions
Eternally Yours,1939,Walter Wanger Productions
Golden Boy,1939,Columbia Pictures
Intermezzo,1939,Selznick International Pictures
Juarez,1939,Warner Bros.
Nurse Edith Cavell,1939,Imperadio Pictures
Only Angels Have Wings,1939,Columbia Pictures
Peace on Earth,1939,Harman-Ising Productions
Peace on Earth,1939,MGM Cartoons
She Married a Cop,1939,Republic Pictures
Swanee River,1939,20th Century-Fox
The Man in the Iron Mask,1939,Edward Small Productions
The Pointer,1939,Walt Disney Productions
They Shall Have Music,1939,Samuel Goldwyn Productions
Way Down South,1939,Sol Lesser Productions
Young Mr. Lincoln,1939,Cosmopolitan Productions
Rebecca,1940,Selznick International Pictures
The Thief of Bagdad,1940,London Films
The Philadelphia Story,1940,Metro-Goldwyn-Mayer
Pinocchio,1940,Walt Disney Productions
North West Mounted Police,1940,Paramount Pictures
"Arise, My Love",1940,Paramount Pictures
Strike Up the Band,1940,Metro-Goldwyn-Mayer
The Westerner,1940,Samuel Goldwyn Productions
Pride and Prejudice,1940,Metro-Goldwyn-Mayer
"Teddy, the Rough Rider",1940,Warner Bros.
The Great McGinty,1940,Paramount Pictures
The Milky Way,1940,MGM cartoon studio
The Milky Way,1940,Rudolf Ising Productions
Foreign Correspondent,1940,Walter Wanger Productions
Our Town,1940,Sol Lesser Productions
The Long Voyage Home,1940,Walter Wanger Productions
The Long Voyage Home,1940,Argosy Corporation
The Great Dictator,1940,Charles Chaplin Film Corporation
Spring Parade,1940,Universal Studios
"All This, and Heaven Too",1940,A Warner Bros. – First National Picture
"All This, and Heaven Too",1940,An Anatole Litvak Production
My Favourite Wife,1940,RKO Radio Pictures
Abe Lincoln in Illinois,1940,RKO Radio Pictures
Arizona,1940,Columbia Pictures
Bitter Sweet,1940,Metro-Goldwyn-Mayer
Boom Town,1940,Metro-Goldwyn-Mayer
Dark Command,1940,Republic Pictures
Hit Parade of 1941,1940,Republic Pictures
One Million B.C.,1940,Hal Roach Studios
Second Chorus,1940,Paramount Pictures
The Blue Bird,1940,Twentieth Century-Fox Film Corporation
Waterloo Bridge,1940,Metro-Goldwyn-Mayer
A Wild Hare,1940,Leon Schlesinger Productions
Angels Over Broadway,1940,Columbia Pictures
Behind the News,1940,Republic Pictures
Captain Caution,1940,Hal Roach Studios
Comrade X,1940,Metro-Goldwyn-Mayer
Dr. Cyclops,1940,Paramount Pictures
"Edison, the Man",1940,Metro-Goldwyn-Mayer
Lillian Russell,1940,20th Century Fox
London Can Take It!,1940,GPO Film Unit
"My Son, My Son!",1940,Edward Small Productions
Northwest Passage,1940,Metro-Goldwyn-Mayer
Puss Gets the Boot,1940,MGM Cartoons
Puss Gets the Boot,1940,Rudolf Ising Productions
Rhythm on the River,1940,Paramount Pictures
Swiss Family Robinson,1940,The Play's The Thing Productions
The Fight for Life,1940,United States Film Service
The House of the Seven Gables,1940,Universal Pictures Co.
The Invisible Man Returns,1940,Universal Pictures
They Knew What They Wanted,1940,RKO Radio Pictures
Too Many Husbands,1940,Columbia Pictures
Typhoon,1940,Paramount Pictures
You'll Find Out,1940,RKO Radio Pictures
How Green Was My Valley,1941,Twentieth Century Fox
Sergeant York,1941,Warner Bros.
Here Comes Mr. Jordan,1941,Columbia Pictures
Citizen Kane,1941,RKO Radio Pictures
Citizen Kane,1941,Mercury Productions
Blossoms in the Dust,1941,Metro-Goldwyn-Mayer
That Hamilton Woman,1941,London Films
Suspicion,1941,RKO Radio Pictures
Blood and Sand,1941,20th Century Fox
Dumbo,1941,Walt Disney Productions
Churchill's Island,1941,National Film Board of Canada
Churchill's Island,1941,Montreal
I Wanted Wings,1941,Paramount Pictures
Lady Be Good,1941,Metro-Goldwyn-Mayer
Lend a Paw,1941,Walt Disney Productions
The Great Lie,1941,Warner Bros.
The Little Foxes,1941,Samuel Goldwyn Productions
Hold Back the Dawn,1941,Paramount Pictures
Ball of Fire,1941,Samuel Goldwyn Productions
Dr. Jekyll and Mr. Hyde,1941,Metro-Goldwyn-Mayer
Sun Valley Serenade,1941,Twentieth Century Fox
Sundown,1941,Walter Wanger Productions
The Chocolate Soldier,1941,Metro-Goldwyn-Mayer
The Maltese Falcon,1941,Warner Bros.
All-American Co-Ed,1941,Hal Roach Studios
All-American Co-Ed,1941,Inc.
Aloma of the South Seas,1941,Paramount Pictures
Buck Privates,1941,Universal Pictures
Dive Bomber,1941,Warner Bros.
Ladies in Retirement,1941,Columbia Pictures
Louisiana Purchase,1941,Paramount Pictures
The Devil and Miss Jones,1941,Frank Ross-Norma Krasna
Topper Returns,1941,Hal Roach Studios
You'll Never Get Rich,1941,Columbia Pictures
A Letter from Home,1941,Twentieth Century-Fox
A Place to Live,1941,Documentary Film Productions for the Philadelphia Housing Association
A Yank in the R.A.F.,1941,Twentieth Century Fox
Adventure in the Bronx,1941,New York Zoological Society
Appointment for Love,1941,Universal Pictures
Back Street,1941,Universal Pictures
Billy the Kid,1941,Metro-Goldwyn-Mayer
Birth of the Blues,1941,Paramount Pictures
Blues in the Night,1941,Warner Bros.
Bomber: A Defense Report on Film,1941,United States Office for Emergency Management Film Unit
Cheers for Miss Bishop,1941,Richard A. Rowland Productions
Christmas Under Fire,1941,Crown Film Unit
Down on the Farm,1941,Paramount Pictures
Flight Command,1940,Metro-Goldwyn-Mayer
Hiawatha's Rabbit Hunt,1941,Leon Schlesinger Productions
Ice-Capades,1940,Republic Pictures
King of the Zombies,1941,Sterling Productions
King of the Zombies,1941,Inc.
Las Vegas Nights,1941,Paramount Pictures
Lydia,1941,London Films
Meet John Doe,1941,Frank Capra Productions
Mercy Island,1941,Republic Pictures
Night Train to Munich,1940,20th Century Productions
Norway in Revolt,1941,Time Inc.
One Foot in Heaven,1941,Warner Bros.
Penny Serenade,1941,Columbia Pictures
Rhapsody in Rivets,1941,Leon Schlesinger Productions
Ridin' on a Rainbow,1941,Republic Pictures
Sis Hopkins,1941,Republic Pictures
Skylark,1941,Paramount Pictures
So Ends Our Night,1941,David L. Loew-Albert Lewin Productions
Sunny,1941,Suffolk Productions
Superman,1941,Fleischer Studios
"Tall, Dark and Handsome",1941,20th Century Fox
Tanks a Million,1941,Hal Roach Studios
That Uncertain Feeling,1941,Ernst Lubitsch ProductionsSol Lesser Productions
The Devil Pays Off,1941,Republic Pictures
The Flame of New Orleans,1941,Universal Pictures
The Invisible Woman,1940,Universal Pictures Co.
The Lady Eve,1941,Paramount Pictures
The Men in Her Life,1941,Gregory Ratoff Productions
The Night Before Christmas,1941,MGM Cartoons
The Rookie Bear,1941,MGM Cartoons
The Sea Wolf,1941,Warner Bros.
The Son of Monte Cristo,1940,Edward Small Productions
The Strawberry Blonde,1941,Warner Bros.
This Woman Is Mine,1941,Frank Lloyd Productions
"Tom, Dick and Harry",1941,RKO Radio Pictures
Truant Officer Donald,1941,Walt Disney Productions
War Clouds in the Pacific,1941,National Film Board of Canada
When Ladies Meet,1941,Metro-Goldwyn-Mayer
Fantasia,1940,Walt Disney Productions
Target for Tonight,1941,Crown Film Unit
Mrs. Miniver,1942,Metro-Goldwyn-Mayer
The Pride of the Yankees,1942,Samuel Goldwyn Productions
49th Parallel,1941,Ortus Films
Holiday Inn,1942,Paramount Pictures
Reap the Wild Wind,1942,Paramount Pictures
Woman of the Year,1942,Metro-Goldwyn-Mayer
Beyond the Line of Duty,1942,The U.S. Army Signal Corps Photographic Section
Der Fuehrer's Face,1943,Walt Disney Productions
Johnny Eager,1941,Metro-Goldwyn-Mayer
Kokoda Front Line!,1942,Cinesound Productions
The Battle of Midway,1942,United States Navy
Random Harvest,1942,Metro-Goldwyn-Mayer
The Talk of the Town,1942,Columbia Pictures
Arabian Nights,1942,Walter Wanger presents
Jungle Book,1942,Alexander Korda Films
Jungle Book,1942,Inc.
The Magnificent Ambersons,1942,RKO Radio Pictures
The Magnificent Ambersons,1942,Mercury Productions
Wake Island,1942,Paramount Pictures
Bambi,1942,Walt Disney Productions
Flying Tigers,1942,Republic Pictures
Kings Row,1942,Warner Bros.
You Were Never Lovelier,1942,Columbia Pictures
Flying with Music,1942,Hal Roach Studios
Silver Queen,1942,United Artists
The Shanghai Gesture,1941,Arnold Pressburger Films
A Ship Is Born,1942,U.S. Merchant Marine
"Africa, Prelude to Victory",1942,The March of Time
Babes on Broadway,1941,Metro-Goldwyn-Mayer
Blitz Wolf,1942,MGM Cartoons
Desperate Journey,1942,Warner Bros.
For Me and My Gal,1942,Metro-Goldwyn-Mayer
Friendly Enemies,1942,Edward Small Productions
George Washington Slept Here,1942,Warner Bros. Pictures
George Washington Slept Here,1942,Inc.
Hellzapoppin',1941,Mayfair Productions
"Henry Browne, Farmer",1942,Republic Pictures
"Henry Browne, Farmer",1942,United States Department of Agriculture
I Married a Witch,1942,Paramount Pictures
Inside Fighting China,1941,National Film Board of Canada
Invisible Agent,1942,Universal Pictures Company
Invisible Agent,1942,Inc.
Invisible Agent,1942,Frank Lloyd Productions
Invisible Agent,1942,Inc.
It Started with Eve,1941,Universal Pictures
It's Everybody's War,1942,20th Century Fox
Joan of Paris,1942,RKO Radio Pictures
Johnny Doughboy,1942,Republic Pictures
Klondike Fury,1942,King Brothers Productions
Listen to Britain,1942,Crown Film Unit
Moontide,1942,20th Century Fox
My Sister Eileen,1942,Columbia Pictures
Orchestra Wives,1942,Twentieth Century Fox
Pigs in a Polka,1943,Leon Schlesinger Studios
Private Smith of the U.S.A.,1942,RKO Radio Pictures
Ten Gentlemen from West Point,1942,20th Century Fox
The Corsican Brothers,1941,Edward Small Productions
The Grain That Built a Hemisphere,1943,Walt Disney Productions
The Navy Comes Through,1942,RKO Radio Pictures
The New Spirit,1942,U.S. Department of the Treasury
The New Spirit,1942,Walt Disney Productions
The Spoilers,1942,Frank Lloyd ProductionsCharles K. Feldman Group
Tortilla Flat,1942,Metro-Goldwyn-Mayer
Tulips Shall Grow,1942,George Pal Productions
Youth on Parade,1942,Republic Pictures
Casablanca,1942,Warner Bros. Pictures
Casablanca,1942,Inc.
Phantom of the Opera,1943,Universal Pictures
For Whom the Bell Tolls,1943,Paramount Pictures
The More the Merrier,1943,Columbia Pictures
The Human Comedy,1943,Metro-Goldwyn-Mayer
Watch on the Rhine,1943,Warner Bros.
This Is the Army,1943,Warner Bros.
Crash Dive,1943,20th Century Fox
Desert Victory,1943,Army Film and Photographic Unit
Desert Victory,1943,Royal Air Force Film Production Unit
Princess O'Rourke,1943,Warner Bros. Pictures
The Yankee Doodle Mouse,1943,MGM cartoon studio
This Land Is Mine,1943,Jean-Renoir-Dudly Nichols Productions
Madame Curie,1943,Metro-Goldwyn-Mayer
The North Star,1943,Samuel Goldwyn Productions
So Proudly We Hail!,1943,Paramount Pictures
Heaven Can Wait,1943,20th Century Fox
Sahara,1943,Columbia Pictures
Saludos Amigos,1942,Walt Disney Productions
Thousands Cheer,1943,Metro-Goldwyn-Mayer
Hangmen Also Die!,1943,Arnold Pressburger Films
Hit Parade of 1943,1943,Republic Pictures
In Old Oklahoma,1943,Republic Pictures
Stage Door Canteen,1943,Principal Artists Productions
Action in the North Atlantic,1943,Warner Bros. Pictures
Baptism of Fire,1943,Signal Corps
Cabin in the Sky,1943,Metro-Goldwyn-Mayer
Commandos Strike at Dawn,1942,Columbia Pictures
Corvette K-225,1943,Universal Pictures
Destination Tokyo,1943,Warner Bros.
Greetings Bait,1943,Warner Bros. Cartoons
Hers to Hold,1943,Universal Pictures
Hi Diddle Diddle,1943,Andrew L. Stone Productions
