firstName,lastName,movieTitle,releaseYear,iteration,categoryName,isWinner
Rex,Harrison,My Fair Lady,1964,37th,Best Actor in a Leading Role,yes
Richard,Burton,Becket,1964,37th,Best Actor in a Leading Role,no
Anthony,Quinn,Zorba the Greek,1964,37th,Best Actor in a Leading Role,no
Peter,Sellers,Dr. Strangelove,1964,37th,Best Actor in a Leading Role,no
Lee,Marvin,Cat Ballou,1965,38th,Best Actor in a Leading Role,yes
Richard,Burton,The Spy Who Came in from the Cold,1965,38th,Best Actor in a Leading Role,no
Laurence,Olivier,Othello,1965,38th,Best Actor in a Leading Role,no
Rod,Steiger,The Pawnbroker,1964,38th,Best Actor in a Leading Role,no
Oskar,Werner,Ship of Fools,1965,38th,Best Actor in a Leading Role,no
Paul,Scofield,A Man for All Seasons,1966,39th,Best Actor in a Leading Role,yes
Alan,Arkin,"The Russians Are Coming, the Russians Are Coming",1966,39th,Best Actor in a Leading Role,no
Richard,Burton,Who's Afraid of Virginia Woolf?,1966,39th,Best Actor in a Leading Role,no
Michael,Caine,Alfie,1966,39th,Best Actor in a Leading Role,no
Steve,McQueen,The Sand Pebbles,1966,39th,Best Actor in a Leading Role,no
Rod,Steiger,In the Heat of the Night,1967,40th,Best Actor in a Leading Role,yes
Warren,Beatty,Bonnie and Clyde,1967,40th,Best Actor in a Leading Role,no
Dustin,Hoffman,The Graduate,1967,40th,Best Actor in a Leading Role,no
Paul,Newman,Cool Hand Luke,1967,40th,Best Actor in a Leading Role,no
Spencer,Tracy,Guess Who's Coming to Dinner,1967,40th,Best Actor in a Leading Role,no
Cliff,Robertson,Charly,1968,41st,Best Actor in a Leading Role,yes
Alan,Arkin,The Heart Is a Lonely Hunter,1968,41st,Best Actor in a Leading Role,no
Alan,Bates,The Fixer,1968,41st,Best Actor in a Leading Role,no
Ron,Moody,Oliver!,1968,41st,Best Actor in a Leading Role,no
Peter,O'Toole,The Lion in Winter,1968,41st,Best Actor in a Leading Role,no
John,Wayne,True Grit,1969,42nd,Best Actor in a Leading Role,yes
Richard,Burton,Anne of the Thousand Days,1969,42nd,Best Actor in a Leading Role,no
Dustin,Hoffman,Midnight Cowboy,1969,42nd,Best Actor in a Leading Role,no
Peter,O'Toole,"Goodbye, Mr. Chips",1969,42nd,Best Actor in a Leading Role,no
Jon,Voight,Midnight Cowboy,1969,42nd,Best Actor in a Leading Role,no
George,C. Scott,Patton,1969,43rd,Best Actor in a Leading Role,yes
Melvyn,Douglas,I Never Sang for My Father,1970,43rd,Best Actor in a Leading Role,no
James,Earl Jones,The Great White Hope,1970,43rd,Best Actor in a Leading Role,no
Jack,Nicholson,Five Easy Pieces,1970,43rd,Best Actor in a Leading Role,no
Ryan,O'Neal,Love Story,1970,43rd,Best Actor in a Leading Role,no
Gene,Hackman,The French Connection,1971,44th,Best Actor in a Leading Role,yes
Peter,Finch,Sunday Bloody Sunday,1971,44th,Best Actor in a Leading Role,no
Walter,Matthau,Kotch,1971,44th,Best Actor in a Leading Role,no
George,C. Scott,The Hospital,1971,44th,Best Actor in a Leading Role,no
Chaim,Topol,Fiddler on the Roof,1971,44th,Best Actor in a Leading Role,no
Marlon,Brando,The Godfather,1972,45th,Best Actor in a Leading Role,yes
Michael,Caine,Sleuth,1972,45th,Best Actor in a Leading Role,no
Peter,O'Toole,The Ruling Class,1972,45th,Best Actor in a Leading Role,no
Paul,Winfield,Sounder,1972,45th,Best Actor in a Leading Role,no
Jack,Lemmon,Save the Tiger,1973,46th,Best Actor in a Leading Role,yes
Marlon,Brando,Last Tango in Paris,1972,46th,Best Actor in a Leading Role,no
Jack,Nicholson,The Last Detail,1973,46th,Best Actor in a Leading Role,no
Al,Pacino,Serpico,1973,46th,Best Actor in a Leading Role,no
Robert,Redford,The Sting,1973,46th,Best Actor in a Leading Role,no
Art,Carney,Harry and Tonto,1974,47th,Best Actor in a Leading Role,yes
Albert,Finney,Murder on the Orient Express,1974,47th,Best Actor in a Leading Role,no
Dustin,Hoffman,Lenny,1974,47th,Best Actor in a Leading Role,no
Jack,Nicholson,Chinatown,1974,47th,Best Actor in a Leading Role,no
Al,Pacino,The Godfather Part II,1974,47th,Best Actor in a Leading Role,no
Jack,Nicholson,One Flew Over the Cuckoo's Nest,1975,48th,Best Actor in a Leading Role,yes
Walter,Matthau,The Sunshine Boys,1975,48th,Best Actor in a Leading Role,no
Al,Pacino,Dog Day Afternoon,1975,48th,Best Actor in a Leading Role,no
Maximilian,Schell,The Man in the Glass Booth,1975,48th,Best Actor in a Leading Role,no
James,Whitmore,"Give 'em Hell, Harry!",1975,48th,Best Actor in a Leading Role,no
Peter,Finch,Network,1976,49th,Best Actor in a Leading Role,yes
Robert,De Niro,Taxi Driver,1976,49th,Best Actor in a Leading Role,no
Giancarlo,Giannini,Seven Beauties,1975,49th,Best Actor in a Leading Role,no
William,Holden,Network,1976,49th,Best Actor in a Leading Role,no
Sylvester,Stallone,Rocky,1976,49th,Best Actor in a Leading Role,no
Richard,Dreyfuss,The Goodbye Girl,1977,50th,Best Actor in a Leading Role,yes
Woody,Allen,Annie Hall,1977,50th,Best Actor in a Leading Role,no
Richard,Burton,Equus,1977,50th,Best Actor in a Leading Role,no
Marcello,Mastroianni,A Special Day,1977,50th,Best Actor in a Leading Role,no
John,Travolta,Saturday Night Fever,1977,50th,Best Actor in a Leading Role,no
Jon,Voight,Coming Home,1978,51st,Best Actor in a Leading Role,yes
Warren,Beatty,Heaven Can Wait,1978,51st,Best Actor in a Leading Role,no
Gary,Busey,The Buddy Holly Story,1978,51st,Best Actor in a Leading Role,no
Robert,De Niro,The Deer Hunter,1978,51st,Best Actor in a Leading Role,no
Laurence,Olivier,The Boys from Brazil,1978,51st,Best Actor in a Leading Role,no
