firstName,lastName,movieTitle,releaseYear,categoryName,iteration,winner
Richard,Dembo,Dangerous Moves,1984,Best International Feature Film,57th,yes
Uri,Barbash,Beyond the Walls,1984,Best International Feature Film,57th,no
María,Luisa Bemberg,Camila,1984,Best International Feature Film,57th,no
José,Luis Garci,Double Feature,1984,Best International Feature Film,57th,no
Pyotr,Todorovsky,Wartime Romance,1984,Best International Feature Film,57th,no
Luis,Puenzo,The Official Story,1985,Best International Feature Film,58th,yes
Agnieszka,Holland,Angry Harvest,1985,Best International Feature Film,58th,no
István,Szabó,Colonel Redl,1985,Best International Feature Film,58th,no
Coline,Serreau,Three Men and a Cradle,1985,Best International Feature Film,58th,no
Emir,Kusturica,When Father Was Away on Business,1985,Best International Feature Film,58th,no
Fons,Rademakers,The Assault,1986,Best International Feature Film,59th,yes
Wolfgang,Glück,'38 – Vienna Before the Fall,1986,Best International Feature Film,59th,no
Jean-Jacques,Beineix,Betty Blue,1986,Best International Feature Film,59th,no
Denys,Arcand,The Decline of the American Empire,1986,Best International Feature Film,59th,no
Jiří,Menzel,My Sweet Little Village,1986,Best International Feature Film,59th,no
Gabriel,Axel,Babette's Feast,1987,Best International Feature Film,60th,yes
Louis,Malle,"Au Revoir Les Enfants (Goodbye, Children)",1987,Best International Feature Film,60th,no
José,Luis Garci,Course Completed,1987,Best International Feature Film,60th,no
Ettore,Scola,The Family,1987,Best International Feature Film,60th,no
Nils,Gaup,Pathfinder,1987,Best International Feature Film,60th,no
Bille,August,Pelle the Conqueror,1988,Best International Feature Film,61st,yes
István,Szabó,Hanussen,1988,Best International Feature Film,61st,no
Gérard,Corbiau,The Music Teacher,1988,Best International Feature Film,61st,no
Mira,Nair,Salaam Bombay!,1988,Best International Feature Film,61st,no
Pedro,Almodóvar,Women on the Verge of a Nervous Breakdown,1988,Best International Feature Film,61st,no
Giuseppe,Tornatore,Cinema Paradiso,1989,Best International Feature Film,62nd,yes
Bruno,Nuytten,Camille Claudel,1989,Best International Feature Film,62nd,no
Denys,Arcand,Jesus of Montreal,1989,Best International Feature Film,62nd,no
Kaspar,Rostrup,Waltzing Regitze,1989,Best International Feature Film,62nd,no
Jacobo,Morales,What Happened to Santiago,1989,Best International Feature Film,62nd,no
Xavier,Koller,Journey of Hope,1990,Best International Feature Film,63rd,yes
Jean-Paul,Rappeneau,Cyrano de Bergerac,1990,Best International Feature Film,63rd,no
Zhang,Yimou,Ju Dou,1990,Best International Feature Film,63rd,no
Yang,Fengliang,Ju Dou,1990,Best International Feature Film,63rd,no
Michael,Verhoeven,The Nasty Girl,1990,Best International Feature Film,63rd,no
Gianni,Amelio,Open Doors,1990,Best International Feature Film,63rd,no
Gabriele,Salvatores,Mediterraneo,1991,Best International Feature Film,64th,yes
Friðrik,Þór Friðriksson,Children of Nature,1991,Best International Feature Film,64th,no
Jan,Svěrák,The Elementary School,1991,Best International Feature Film,64th,no
Sven,Nykvist,The Ox,1991,Best International Feature Film,64th,no
Zhang,Yimou,Raise the Red Lantern,1991,Best International Feature Film,64th,no
Régis,Wargnier,Indochine,1992,Best International Feature Film,65th,yes
Nikita,Mikhalkov,Close to Eden,1992,Best International Feature Film,65th,no
Stijn,Coninx,Daens,1992,Best International Feature Film,65th,no
Adolfo,Aristarain,A Place in the World,1992,Best International Feature Film,65th,no
Helmut,Dietl,Schtonk!,1992,Best International Feature Film,65th,no
Fernando,Trueba,Belle Époque,1993,Best International Feature Film,66th,yes
Chen,Kaige,Farewell My Concubine,1993,Best International Feature Film,66th,no
Paul,Turner,Hedd Wyn,1993,Best International Feature Film,66th,no
Trần,Anh Hùng,The Scent of Green Papaya,1993,Best International Feature Film,66th,no
Ang,Lee,The Wedding Banquet,1993,Best International Feature Film,66th,no
Nikita,Mikhalkov,Burnt by the Sun,1994,Best International Feature Film,67th,yes
Milcho,Manchevski,Before the Rain,1994,Best International Feature Film,67th,no
Ang,Lee,Eat Drink Man Woman,1994,Best International Feature Film,67th,no
Gérard,Corbiau,Farinelli: Il Castrato,1994,Best International Feature Film,67th,no
Tomás,Gutiérrez Alea,Strawberry and Chocolate,1994,Best International Feature Film,67th,no
Juan,Carlos Tabío,Strawberry and Chocolate,1994,Best International Feature Film,67th,no
Marleen,Gorris,Antonia's Line,1995,Best International Feature Film,68th,yes
Bo,Widerberg,All Things Fair,1995,Best International Feature Film,68th,no
Rachid,Bouchareb,Dust of Life,1995,Best International Feature Film,68th,no
Fábio,Barreto,O Quatrilho,1995,Best International Feature Film,68th,no
Giuseppe,Tornatore,The Star Maker,1995,Best International Feature Film,68th,no
Jan,Svěrák,Kolya,1996,Best International Feature Film,69th,yes
Nana,Jorjadze,A Chef in Love,1996,Best International Feature Film,69th,no
Berit,Nesheim,The Other Side of Sunday,1996,Best International Feature Film,69th,no
Sergei,Bodrov,Prisoner of the Mountains,1996,Best International Feature Film,69th,no
Patrice,Leconte,Ridicule,1996,Best International Feature Film,69th,no
Mike,van Diem,Character,1997,Best International Feature Film,70th,yes
Caroline,Link,Beyond Silence,1997,Best International Feature Film,70th,no
Bruno,Barreto,Four Days in September,1997,Best International Feature Film,70th,no
Montxo,Armendáriz,Secrets of the Heart,1997,Best International Feature Film,70th,no
Pavel,Chukhray,The Thief,1997,Best International Feature Film,70th,no
Roberto,Benigni,Life Is Beautiful,1998,Best International Feature Film,71st,yes
Walter,Salles,Central Station,1998,Best International Feature Film,71st,no
Majid,Majidi,Children of Heaven,1998,Best International Feature Film,71st,no
José,Luis Garci,The Grandfather,1998,Best International Feature Film,71st,no
Carlos,Saura,Tango,1998,Best International Feature Film,71st,no
Pedro,Almodóvar,All About My Mother,1999,Best International Feature Film,72nd,yes
Régis,Wargnier,East-West,1999,Best International Feature Film,72nd,no
Éric,Valli,Himalaya,1999,Best International Feature Film,72nd,no
Paul,Morrison,Solomon & Gaenor,1999,Best International Feature Film,72nd,no
Colin,Nutley,Under the Sun,1999,Best International Feature Film,72nd,no
Ang,Lee,"Crouching Tiger, Hidden Dragon",2000,Best International Feature Film,73rd,yes
Alejandro,González Iñárritu,Amores perros,2000,Best International Feature Film,73rd,no
Jan,Hřebejk,Divided We Fall,2000,Best International Feature Film,73rd,no
Dominique,Deruddere,Everybody's Famous!,2000,Best International Feature Film,73rd,no
Agnès,Jaoui,The Taste of Others,2000,Best International Feature Film,73rd,no
Danis,Tanović,No Man's Land,2001,Best International Feature Film,74th,yes
Jean-Pierre,Jeunet,Amélie,2001,Best International Feature Film,74th,no
Petter,Næss,Elling,2001,Best International Feature Film,74th,no
Ashutosh,Gowariker,Lagaan,2001,Best International Feature Film,74th,no
Juan,José Campanella,Son of the Bride,2001,Best International Feature Film,74th,no
Caroline,Link,Nowhere in Africa,2002,Best International Feature Film,75th,yes
Carlos,Carrera,The Crime of Father Amaro,2002,Best International Feature Film,75th,no
Zhang,Yimou,Hero,2002,Best International Feature Film,75th,no
Aki,Kaurismäki,The Man Without a Past,2002,Best International Feature Film,75th,no
Paula,van der Oest,Zus & Zo,2002,Best International Feature Film,75th,no
Denys,Arcand,The Barbarian Invasions,2003,Best International Feature Film,76th,yes
Mikael,Håfström,Evil,2003,Best International Feature Film,76th,no
Yoji,Yamada,The Twilight Samurai,2003,Best International Feature Film,76th,no
Ben,Sombogaart,Twin Sisters,2003,Best International Feature Film,76th,no
Ondřej,Trojan,Želary,2003,Best International Feature Film,76th,no
Alejandro,Amenábar,The Sea Inside,2004,Best International Feature Film,77th,yes
Kay,Pollak,As It Is in Heaven,2004,Best International Feature Film,77th,no
Christophe,Barratier,The Chorus,2004,Best International Feature Film,77th,no
Oliver,Hirschbiegel,Downfall,2004,Best International Feature Film,77th,no
Darrell,Roodt,Yesterday,2004,Best International Feature Film,77th,no
Gavin,Hood,Tsotsi,2005,Best International Feature Film,78th,yes
Cristina,Comencini,The Beast in the Heart,2005,Best International Feature Film,78th,no
Christian,Carion,Joyeux Noël,2005,Best International Feature Film,78th,no
Hany,Abu-Assad,Paradise Now,2005,Best International Feature Film,78th,no
Marc,Rothemund,Sophie Scholl – The Final Days,2005,Best International Feature Film,78th,no
Florian,Henckel von Donnersmarck,The Lives of Others,2006,Best International Feature Film,79th,yes
Susanne,Bier,After the Wedding,2006,Best International Feature Film,79th,no
Rachid,Bouchareb,Days of Glory,2006,Best International Feature Film,79th,no
Guillermo,del Toro,Pan's Labyrinth,2006,Best International Feature Film,79th,no
Deepa,Mehta,Water,2006,Best International Feature Film,79th,no
Stefan,Ruzowitzky,The Counterfeiters,2007,Best International Feature Film,80th,yes
Joseph,Cedar,Beaufort,2007,Best International Feature Film,80th,no
Andrzej,Wajda,Katyń,2007,Best International Feature Film,80th,no
Sergei,Bodrov,Mongol,2007,Best International Feature Film,80th,no
Nikita,Mikhalkov,12,2007,Best International Feature Film,80th,no
Yōjirō,Takita,Departures,2008,Best International Feature Film,81st,yes
Uli,Edel,The Baader Meinhof Complex,2008,Best International Feature Film,81st,no
Laurent,Cantet,The Class,2008,Best International Feature Film,81st,no
Götz,Spielmann,Revanche,2008,Best International Feature Film,81st,no
Ari,Folman,Waltz with Bashir,2008,Best International Feature Film,81st,no
Juan,José Campanella,The Secret in Their Eyes,2009,Best International Feature Film,82nd,yes
Scandar,Copti,Ajami,2009,Best International Feature Film,82nd,no
Claudia,Llosa,The Milk of Sorrow,2009,Best International Feature Film,82nd,no
Jacques,Audiard,A Prophet,2009,Best International Feature Film,82nd,no
Michael,Haneke,The White Ribbon,2009,Best International Feature Film,82nd,no
Susanne,Bier,In a Better World,2010,Best International Feature Film,83rd,yes
Alejandro,González Iñárritu,Biutiful,2010,Best International Feature Film,83rd,no
Yorgos,Lanthimos,Dogtooth,2010,Best International Feature Film,83rd,no
Denis,Villeneuve,Incendies,2010,Best International Feature Film,83rd,no
Rachid,Bouchareb,Outside the Law,2010,Best International Feature Film,83rd,no
Asghar,Farhadi,A Separation,2011,Best International Feature Film,84th,yes
Michaël,R. Roskam,Bullhead,2011,Best International Feature Film,84th,no
Joseph,Cedar,Footnote,2011,Best International Feature Film,84th,no
Agnieszka,Holland,In Darkness,2011,Best International Feature Film,84th,no
Philippe,Falardeau,Monsieur Lazhar,2011,Best International Feature Film,84th,no
Michael,Haneke,Amour,2012,Best International Feature Film,85th,yes
Joachim,Rønning,Kon-Tiki,2012,Best International Feature Film,85th,no
Espen,Sandberg,Kon-Tiki,2012,Best International Feature Film,85th,no
Pablo,Larraín,No,2012,Best International Feature Film,85th,no
Nikolaj,Arcel,A Royal Affair,2012,Best International Feature Film,85th,no
Kim,Nguyen,War Witch,2012,Best International Feature Film,85th,no
Paolo,Sorrentino,The Great Beauty,2013,Best International Feature Film,86th,yes
Felix,van Groeningen,The Broken Circle Breakdown,2013,Best International Feature Film,86th,no
Thomas,Vinterberg,The Hunt,2013,Best International Feature Film,86th,no
Rithy,Panh,The Missing Picture,2013,Best International Feature Film,86th,no
Hany,Abu-Assad,Omar,2013,Best International Feature Film,86th,no
