firstName,lastName,movieTitle,releaseYear
Doris,Day,Pillow Talk,1959
Audrey,Hepburn,The Nun's Story,1959
Katharine,Hepburn,"Suddenly, Last Summer",1959
Elizabeth,Taylor,BUtterfield 8,1960
Greer,Garson,Sunrise at Campobello,1960
Deborah,Kerr,The Sundowners,1960
Shirley,MacLaine,The Apartment,1960
Melina,Mercouri,Never on Sunday,1960
Sophia,Loren,Two Women,1961
Audrey,Hepburn,Breakfast at Tiffany's,1961
Piper,Laurie,The Hustler,1961
Geraldine,Page,Summer and Smoke,1961
Natalie,Wood,Splendor in the Grass,1961
Anne,Bancroft,The Miracle Worker,1962
Bette,Davis,What Ever Happened to Baby Jane?,1962
Katharine,Hepburn,Long Day's Journey into Night,1962
Geraldine,Page,Sweet Bird of Youth,1962
Lee,Remick,Days of Wine and Roses,1962
Patricia,Neal,Hud,1963
Leslie,Caron,The L-Shaped Room,1963
Shirley,MacLaine,Irma la Douce,1963
Rachel,Roberts,This Sporting Life,1963
Natalie,Wood,Love with the Proper Stranger,1963
Julie,Andrews,Mary Poppins,1964
Anne,Bancroft,The Pumpkin Eater,1964
Sophia,Loren,Marriage Italian Style,1964
Debbie,Reynolds,The Unsinkable Molly Brown,1964
Kim,Stanley,Séance on a Wet Afternoon,1964
Julie,Christie,Darling,1965
Julie,Andrews,The Sound of Music,1965
Samantha,Eggar,The Collector,1965
Elizabeth,Hartman,A Patch of Blue,1965
Simone,Signoret,Ship of Fools,1965
Elizabeth,Taylor,Who's Afraid of Virginia Woolf?,1966
Anouk,Aimée,A Man and a Woman,1966
Ida,Kamińska,The Shop on Main Street,1966
Lynn,Redgrave,Georgy Girl,1966
Vanessa,Redgrave,Morgan!,1966
Katharine,Hepburn,Guess Who's Coming to Dinner,1967
Anne,Bancroft,The Graduate,1967
Faye,Dunaway,Bonnie and Clyde,1967
Edith,Evans,The Whisperers,1967
Audrey,Hepburn,Wait Until Dark,1967
Katharine,Hepburn,The Lion in Winter,1968
Barbra,Streisand,Funny Girl,1968
Patricia,Neal,The Subject Was Roses,1968
Vanessa,Redgrave,Isadora,1968
Joanne,Woodward,"Rachel, Rachel",1968
Maggie,Smith,The Prime of Miss Jean Brodie,1969
Geneviève,Bujold,Anne of the Thousand Days,1969
Jane,Fonda,"They Shoot Horses, Don't They?",1969
Liza,Minnelli,The Sterile Cuckoo,1969
Jean,Simmons,The Happy Ending,1969
Glenda,Jackson,Women in Love,1970
Jane,Alexander,The Great White Hope,1970
Ali,MacGraw,Love Story,1970
Sarah,Miles,Ryan's Daughter,1970
Carrie,Snodgress,Diary of a Mad Housewife,1970
Jane,Fonda,Klute,1971
Julie,Christie,McCabe & Mrs. Miller,1971
Glenda,Jackson,Sunday Bloody Sunday,1971
Vanessa,Redgrave,"Mary, Queen of Scots",1971
Janet,Suzman,Nicholas and Alexandra,1971
Liza,Minnelli,Cabaret,1972
Diana,Ross,Lady Sings the Blues,1972
Maggie,Smith,Travels with My Aunt,1972
Cicely,Tyson,Sounder,1972
Liv,Ullmann,The Emigrants,1972
Glenda,Jackson,A Touch of Class,1973
Ellen,Burstyn,The Exorcist,1973
Marsha,Mason,Cinderella Liberty,1973
Barbra,Streisand,The Way We Were,1973
Joanne,Woodward,"Summer Wishes, Winter Dreams",1973
Ellen,Burstyn,Alice Doesn't Live Here Anymore,1974
Diahann,Carroll,Claudine,1974
Faye,Dunaway,Chinatown,1974
Valerie,Perrine,Lenny,1974
Gena,Rowlands,A Woman Under the Influence,1974
Louise,Fletcher,One Flew Over the Cuckoo's Nest,1975
Isabelle,Adjani,The Story of Adele H.,1975
Ann-Margret,,Tommy,1975
Glenda,Jackson,Hedda,1975
Carol,Kane,Hester Street,1975
Faye,Dunaway,Network,1976
Marie-Christine,Barrault,Cousin Cousine,1976
Talia,Shire,Rocky,1976
Sissy,Spacek,Carrie,1976
Liv,Ullmann,Face to Face,1976
Diane,Keaton,Annie Hall,1977
Anne,Bancroft,The Turning Point,1977
Jane,Fonda,Julia,1977
Shirley,MacLaine,The Turning Point,1977
Marsha,Mason,The Goodbye Girl,1977
Jane,Fonda,Coming Home,1978
Ingrid,Bergman,Autumn Sonata,1978
Ellen,Burstyn,"Same Time, Next Year",1978
Jill,Clayburgh,An Unmarried Woman,1978
Geraldine,Page,Interiors,1978
Sally,Field,Norma Rae,1979
Jill,Clayburgh,Starting Over,1979
Jane,Fonda,The China Syndrome,1979
Marsha,Mason,Chapter Two,1979
Bette,Midler,The Rose,1979
Sissy,Spacek,Coal Miner's Daughter,1980
Ellen,Burstyn,Resurrection,1980
Goldie,Hawn,Private Benjamin,1980
Mary,Tyler Moore,Ordinary People,1980
Gena,Rowlands,Gloria,1980
Katharine,Hepburn,On Golden Pond,1981
Diane,Keaton,Reds,1981
Marsha,Mason,Only When I Laugh,1981
Susan,Sarandon,Atlantic City,1981
Meryl,Streep,The French Lieutenant's Woman,1981
Meryl,Streep,Sophie's Choice,1982
Julie,Andrews,Victor/Victoria,1982
Jessica,Lange,Frances,1982
Sissy,Spacek,Missing,1982
Debra,Winger,An Officer and a Gentleman,1982
Shirley,MacLaine,Terms of Endearment,1983
Jane,Alexander,Testament,1983
Meryl,Streep,Silkwood,1983
Julie,Walters,Educating Rita,1983
Debra,Winger,Terms of Endearment,1983
Sally,Field,Places in the Heart,1984
Judy,Davis,A Passage to India,1984
Jessica,Lange,Country,1984
Vanessa,Redgrave,The Bostonians,1984
Sissy,Spacek,The River,1984
Geraldine,Page,The Trip to Bountiful,1985
Anne,Bancroft,Agnes of God,1985
Whoopi,Goldberg,The Color Purple,1985
Jessica,Lange,Sweet Dreams,1985
Meryl,Streep,Out of Africa,1985
Marlee,Matlin,Children of a Lesser God,1986
Jane,Fonda,The Morning After,1986
Sissy,Spacek,Crimes of the Heart,1986
Kathleen,Turner,Peggy Sue Got Married,1986
Sigourney,Weaver,Aliens,1986
Cher,,Moonstruck,1987
Glenn,Close,Fatal Attraction,1987
Holly,Hunter,Broadcast News,1987
Sally,Kirkland,Anna,1987
Meryl,Streep,Ironweed,1987
Jodie,Foster,The Accused,1988
Glenn,Close,Dangerous Liaisons,1988
Melanie,Griffith,Working Girl,1988
Meryl,Streep,A Cry in the Dark,1988
