firstName,lastName,movieTitle,releaseYear
Hugo,Niebeling,Alvorada (Brazil's Changing Face),1962
Paul,de Roubaix,Le Maillon et la Chaine (The Link and the Chain),1963
Marshall,Flaum,The Yanks Are Coming,1963
Jacques-Yves,Cousteau,Jacques-Yves Cousteau's World without Sun,1964
Jack,Le Vien,The Finest Hours,1964
Mel,Stuart,Four Days in November,1964
Bert,Haanstra,The Human Dutch,1964
Jean,Aurel,"Over There, 1914–18",1964
Sidney,Glazier,The Eleanor Roosevelt Story,1965
Laurence,E. Mascott,The Battle of the Bulge... The Brave Rifles,1965
Marshall,Flaum,Let My People Go,1965
Frédéric,Rossif,To Die in Madrid,1965
Peter,Watkins,The War Game,1966
Alfred,R. Kelman,The Face of a Genius,1966
Tom,Daly,Helicopter Canada,1966
Alex,Grasshoff,The Really Big Family,1966
Haroun,Tazieff,Le Volcan Interdit (The Forbidden Volcano),1966
Pierre,Schoendoerffer,The Anderson Platoon,1967
Murray,Lerner,Festival,1967
Carroll,Ballard,Harvest,1967
Jack,Le Vien,A King's Story,1967
William,C. Jersey,A Time for Burning,1967
James,Blue,A Few Notes on Our Food Problem,1968
William,Cayton,The Legendary Champions,1968
David,H. Sawyer,Other Voices,1968
Bernard,Chevry,Arthur Rubinstein – The Love of Life,1969
Emile,de Antonio,In the Year of the Pig,1969
Irwin,Rosten,The Wolf Men,1969
Dr.,Harald Reinl,Chariots of the Gods,1970
Jim,Jacobs,Jack Johnson,1970
Ely,Landau,King: A Filmed Record... Montgomery to Memphis,1970
Walon,Green,The Hellstrom Chronicle,1971
Alan,Landsburg,Alaska Wilderness Lake,1971
Bruce,Brown,On Any Sunday,1971
Lennart,Ehrenborg,The RA Expeditions,1971
Thor,Heyerdahl,The RA Expeditions,1971
Marcel,Ophüls,The Sorrow and the Pity,1971
Howard,Smith,Marjoe,1972
Sarah,Kernochan,Marjoe,1972
Bert,Haanstra,Ape and Super-Ape,1972
Marvin,Worth,Malcolm X,1972
Arnold,Perl,Malcolm X,1972
Robert,Hendrickson,Manson,1972
Laurence,Merrick,Manson,1972
Eckehard,Munck,The Silent Revolution,1972
Kieth,Merrill,The Great American Cowboy,1973
John,D. Goodell,Always a New Beginning,1973
Alexander,Grasshoff,Journey to the Outer Limits,1973
Gertrude,Ross Marks,Walls of Fire,1973
Peter,Davis,Hearts and Minds,1974
Bert,Schneider,Hearts and Minds,1974
Judy,Collins,Antonia: A Portrait of the Woman,1974
Jill,Godmilow,Antonia: A Portrait of the Woman,1974
Herbert,Kline,The Challenge... A Tribute to Modern Art,1974
Haim,Gouri,The 81st Blow,1974
F.,R. Crawley,The Man Who Skied Down Everest,1975
Walter,F. Parkes,The California Reich,1975
Irwin,Rosten,The Incredible Machine,1975
Shirley,MacLaine,The Other Half of the Sky: A China Memoir,1975
Barbara,Kopple,"Harlan County, U.S.A.",1976
David,Koff,People of the Wind,1976
Donald,Brittain,Volcano: An Inquiry into the Life and Death of Malcolm Lowry,1976
John,Korty,Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977
Robert,Dornhelm,The Children of Theatre Street,1977
Earle,Mack,The Children of Theatre Street,1977
Tony,Ianzelo,High Grass Circus,1977
Harry,Rasky,Homage to Chagall: The Colours of Love,1977
Jim,Klein,Union Maids,1977
Arnold,Shapiro,Scared Straight!,1978
Albert,Lamorisse,The Lovers' Wind,1978
Alan,Root,Mysterious Castles of Clay,1978
Jean-Pierre,Dutilleux,Raoni,1978
Ira,Wohl,Best Boy,1979
Paul,Cowan,Going the Distance,1979
Jacques,Bobet,Going the Distance,1979
Tom,Priestley,The Killing Ground,1979
Barry,Alexander Brown,The War at Home,1979
Murray,Lerner,From Mao to Mozart: Isaac Stern in China,1980
Jon,H. Else,The Day After Trinity,1980
David,Bradbury,Front Line,1980
Arthur,Cohn,The Yellow Star: The Persecution of the Jews in Europe 1933-45,1980
Arnold,Schwartzman,Genocide,1981
Marvin,Hier,Genocide,1981
Ken,Burns,Brooklyn Bridge,1981
Boyd,Estus,Eight Minutes to Midnight: A Portrait of Dr. Helen Caldicott,1981
John,Zaritsky,Just Another Missing Kid,1982
Sturla,Gunnarsson,After the Axe,1982
Emile,Ardolino,He Makes Me Feel Like Dancin',1983
Richard,Kotuk,Children of Darkness,1983
Bob,Connolly,First Contact,1983
Robin,Anderson,First Contact,1983
Julia,Reichert,Seeing Red,1983
Rob,Epstein,The Times of Harvey Milk,1984
Charles,Guggenheim,High Schools,1984
Zev,Braun,Marlene,1984
Susana,Blaustein Muñoz,Las Madres: The Mothers of Plaza de Mayo,1985
Lourdes,Portillo,Las Madres: The Mothers of Plaza de Mayo,1985
Japhet,Asher,Soldiers in Hiding,1985
Ken,Burns,The Statue of Liberty,1985
Steven,Okazaki,Unfinished Business,1985
Brigitte,Berman,Artie Shaw: Time Is All You've Got,1986
Joseph,Feury,Down and Out in America,1986
David,Bradbury,Chile: Hasta Cuando?,1986
Kirk,Simon,Isaac in America: A Journey with Isaac Bashevis Singer,1986
Sharon,I. Sopher,Witness to Apartheid,1986
Aviva,Slesin,The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,1987
Callie,Crossley,Eyes on the Prize: America's Civil Rights Years/Bridge to Freedom 1965,1987
John,W. Dower,Hellfire: A Journey from Hiroshima,1987
Robert,Stone,Radio Bikini,1987
Marcel,Ophüls,Hôtel Terminus: The Life and Times of Klaus Barbie,1988
Robert,Bilheimer,The Cry of Reason – Beyers Naudé: An Afrikaner Speaks Out,1988
Bruce,Weber,Let's Get Lost,1988
Ginny,Durrin,Promises to Keep,1988
Renee,Tajima-Peña,Who Killed Vincent Chin?,1988
Christine,Choy,Who Killed Vincent Chin?,1988
Rob,Epstein,Common Threads: Stories from the Quilt,1989
Bill,Couturié,Common Threads: Stories from the Quilt,1989
William,Guttentag,Crack USA: County Under Siege,1989
Al,Reinert,For All Mankind,1989
William,C. Jersey,Super Chief: The Life and Legacy of Earl Warren,1989
Barbara,Kopple,American Dream,1990
Arthur,Cohn,American Dream,1990
Mark,Mori,Building Bombs,1990
Allie,Light,In the Shadow of the Stars,1991
Irving,Saraf,In the Shadow of the Stars,1991
Hava,Kohav Beller,The Restless Conscience: Resistance to Hitler Within Germany 1933-1945,1991
Bill,Miles,Liberators: Fighting on Two Fronts in World War II,1992
Nina,Rosenblum,Liberators: Fighting on Two Fronts in World War II,1992
Margaret,Smilow,Music for the Movies: Bernard Herrmann,1992
Roma,Baran,Music for the Movies: Bernard Herrmann,1992
D.,A. Pennebaker,The War Room,1993
Chris,Hegedus,The War Room,1993
