firstName,lastName,movieTitle,releaseYear
Ernest,Thompson,On Golden Pond,1981
Harold,Pinter,The French Lieutenant's Woman,1981
Dennis,Potter,Pennies from Heaven,1981
Jay,Presson Allen,Prince of the City,1981
Sidney,Lumet,Prince of the City,1981
Michael,Weller,Ragtime,1981
Costa-Gavras,,Missing,1982
Donald,E. Stewart,Missing,1982
Wolfgang,Petersen,Das Boot,1982
Alan,J. Pakula,Sophie's Choice,1982
David,Mamet,The Verdict,1982
Blake,Edwards,Victor/Victoria,1982
James,L. Brooks,Terms of Endearment,1983
Harold,Pinter,Betrayal,1983
Ronald,Harwood,The Dresser,1983
Willy,Russell,Educating Rita,1983
Julius,J. Epstein,"Reuben, Reuben",1983
Peter,Shaffer,Amadeus,1984
Robert,Towne,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984
[note,15],"Greystoke: The Legend of Tarzan, Lord of the Apes",1984
[11],,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984
Bruce,Robinson,The Killing Fields,1984
David,Lean,A Passage to India,1984
Charles,Fuller,A Soldier's Story,1984
Kurt,Luedtke,Out of Africa,1985
Menno,Meyjes,The Color Purple,1985
Leonard,Schrader,Kiss of the Spider Woman,1985
Richard,Condon,Prizzi's Honor,1985
Horton,Foote,The Trip to Bountiful,1985
Ruth,Prawer Jhabvala,A Room with a View,1986
Mark,Medoff,Children of a Lesser God,1986
Richard,Price,The Color of Money,1986
Beth,Henley,Crimes of the Heart,1986
Bruce,A. Evans,Stand by Me,1986
Bernardo,Bertolucci,The Last Emperor,1987
Mark,Peploe,The Last Emperor,1987
Tony,Huston,The Dead,1987
James,Dearden,Fatal Attraction,1987
Gustav,Hasford,Full Metal Jacket,1987
Michael,Herr,Full Metal Jacket,1987
Stanley,Kubrick,Full Metal Jacket,1987
Brasse,Brännström,My Life as a Dog,1987
Lasse,Hallström,My Life as a Dog,1987
Reidar,Jönsson,My Life as a Dog,1987
Christopher,Hampton,Dangerous Liaisons,1988
Frank,Galati,The Accidental Tourist,1988
Lawrence,Kasdan,The Accidental Tourist,1988
Anna,Hamilton Phelan,Gorillas in the Mist,1988
Tab,Murphy,Gorillas in the Mist,1988
Christine,Edzard,Little Dorrit,1988
Jean-Claude,Carrière,The Unbearable Lightness of Being,1988
Philip,Kaufman,The Unbearable Lightness of Being,1988
Alfred,Uhry,Driving Miss Daisy,1989
Ron,Kovic,Born on the Fourth of July,1989
Oliver,Stone,Born on the Fourth of July,1989
Paul,Mazursky,"Enemies, A Love Story",1989
Roger,L. Simon,"Enemies, A Love Story",1989
Phil,Alden Robinson,Field of Dreams,1989
Shane,Connaughton,My Left Foot,1989
Jim,Sheridan,My Left Foot,1989
Michael,Blake,Dances with Wolves,1990
Steven,Zaillian,Awakenings,1990
Nicholas,Pileggi,Goodfellas,1990
Martin,Scorsese,Goodfellas,1990
Donald,E. Westlake,The Grifters,1990
Nicholas,Kazan,Reversal of Fortune,1990
Ted,Tally,The Silence of the Lambs,1991
Agnieszka,Holland,Europa Europa,1991
Fannie,Flagg,Fried Green Tomatoes,1991
Carol,Sobieski,Fried Green Tomatoes,1991
p.n.,,Fried Green Tomatoes,1991
Oliver,Stone,JFK,1991
Pat,Conroy,The Prince of Tides,1991
Becky,Johnston,The Prince of Tides,1991
Ruth,Prawer Jhabvala,Howards End,1992
Peter,Barnes,Enchanted April,1992
Michael,Tolkin,The Player,1992
Richard,Friedenberg,A River Runs Through It,1992
Bo,Goldman,Scent of a Woman,1992
Steven,Zaillian,Schindler's List,1993
Jay,Cocks,The Age of Innocence,1993
Martin,Scorsese,The Age of Innocence,1993
Terry,George,In the Name of the Father,1993
Jim,Sheridan,In the Name of the Father,1993
Ruth,Prawer Jhabvala,The Remains of the Day,1993
William,Nicholson,Shadowlands,1993
Eric,Roth,Forrest Gump,1994
Alan,Bennett,The Madness of King George,1994
Robert,Benton,Nobody's Fool,1994
