firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Spencer,Tracy,Father of the Bride,1950,Best Actor in a Leading Role,23rd,no
Humphrey,Bogart,The African Queen,1951,Best Actor in a Leading Role,24th,yes
Marlon,Brando,A Streetcar Named Desire,1951,Best Actor in a Leading Role,24th,no
Montgomery,Clift,A Place in the Sun,1951,Best Actor in a Leading Role,24th,no
Arthur,Kennedy,Bright Victory,1951,Best Actor in a Leading Role,24th,no
Fredric,March,Death of a Salesman,1951,Best Actor in a Leading Role,24th,no
Gary,Cooper,High Noon,1952,Best Actor in a Leading Role,25th,yes
Marlon,Brando,Viva Zapata!,1952,Best Actor in a Leading Role,25th,no
Kirk,Douglas,The Bad and the Beautiful,1952,Best Actor in a Leading Role,25th,no
José,Ferrer,Moulin Rouge,1952,Best Actor in a Leading Role,25th,no
Alec,Guinness,The Lavender Hill Mob,1952,Best Actor in a Leading Role,25th,no
William,Holden,Stalag 17,1953,Best Actor in a Leading Role,26th,yes
Marlon,Brando,Julius Caesar,1953,Best Actor in a Leading Role,26th,no
Richard,Burton,The Robe,1953,Best Actor in a Leading Role,26th,no
Montgomery,Clift,From Here to Eternity,1953,Best Actor in a Leading Role,26th,no
Marlon,Brando,On the Waterfront,1954,Best Actor in a Leading Role,27th,yes
Humphrey,Bogart,The Caine Mutiny,1954,Best Actor in a Leading Role,27th,no
Bing,Crosby,The Country Girl,1954,Best Actor in a Leading Role,27th,no
James,Mason,A Star Is Born,1954,Best Actor in a Leading Role,27th,no
Dan,O'Herlihy,Robinson Crusoe,1954,Best Actor in a Leading Role,27th,no
Ernest,Borgnine,Marty,1955,Best Actor in a Leading Role,28th,yes
James,Cagney,Love Me or Leave Me,1955,Best Actor in a Leading Role,28th,no
James,Dean,East of Eden,1955,Best Actor in a Leading Role,28th,no
Frank,Sinatra,The Man with the Golden Arm,1955,Best Actor in a Leading Role,28th,no
Spencer,Tracy,Bad Day at Black Rock,1955,Best Actor in a Leading Role,28th,no
Yul,Brynner,The King and I,1956,Best Actor in a Leading Role,29th,yes
James,Dean,Giant,1956,Best Actor in a Leading Role,29th,no
Kirk,Douglas,Lust for Life,1956,Best Actor in a Leading Role,29th,no
Rock,Hudson,Giant,1956,Best Actor in a Leading Role,29th,no
Laurence,Olivier,Richard III,1956,Best Actor in a Leading Role,29th,no
Alec,Guinness,The Bridge on the River Kwai,1957,Best Actor in a Leading Role,30th,yes
Marlon,Brando,Sayonara,1957,Best Actor in a Leading Role,30th,no
Anthony,Franciosa,A Hatful of Rain,1957,Best Actor in a Leading Role,30th,no
Charles,Laughton,Witness for the Prosecution,1957,Best Actor in a Leading Role,30th,no
Anthony,Quinn,Wild Is the Wind,1957,Best Actor in a Leading Role,30th,no
David,Niven,Separate Tables,1958,Best Actor in a Leading Role,31st,yes
Tony,Curtis,The Defiant Ones,1958,Best Actor in a Leading Role,31st,no
Paul,Newman,Cat on a Hot Tin Roof,1958,Best Actor in a Leading Role,31st,no
Sidney,Poitier,The Defiant Ones,1958,Best Actor in a Leading Role,31st,no
Spencer,Tracy,The Old Man and the Sea,1958,Best Actor in a Leading Role,31st,no
Charlton,Heston,Ben-Hur,1959,Best Actor in a Leading Role,32nd,yes
Laurence,Harvey,Room at the Top,1959,Best Actor in a Leading Role,32nd,no
Jack,Lemmon,Some Like It Hot,1959,Best Actor in a Leading Role,32nd,no
Paul,Muni,The Last Angry Man,1959,Best Actor in a Leading Role,32nd,no
James,Stewart,Anatomy of a Murder,1959,Best Actor in a Leading Role,32nd,no
Burt,Lancaster,Elmer Gantry,1960,Best Actor in a Leading Role,33rd,yes
Trevor,Howard,Sons and Lovers,1960,Best Actor in a Leading Role,33rd,no
