firstName,lastName,movieTitle,releaseYear
Eva,Marie Saint,On the Waterfront,1954
Nina,Foch,Executive Suite,1954
Katy,Jurado,Broken Lance,1954
Jan,Sterling,The High and the Mighty,1954
Jo,Van Fleet,East of Eden,1955
Betsy,Blair,Marty,1955
Peggy,Lee,Pete Kelly's Blues,1955
Marisa,Pavan,The Rose Tattoo,1955
Natalie,Wood,Rebel Without a Cause,1955
Dorothy,Malone,Written on the Wind,1956
Mildred,Dunnock,Baby Doll,1956
Eileen,Heckart,The Bad Seed,1956
Mercedes,McCambridge,Giant,1956
Patty,McCormack,The Bad Seed,1956
Miyoshi,Umeki,Sayonara,1957
Carolyn,Jones,The Bachelor Party,1957
Elsa,Lanchester,Witness for the Prosecution,1957
Hope,Lange,Peyton Place,1957
Wendy,Hiller,Separate Tables,1958
Peggy,Cass,Auntie Mame,1958
Martha,Hyer,Some Came Running,1958
Maureen,Stapleton,Lonelyhearts,1958
Cara,Williams,The Defiant Ones,1958
Shelley,Winters,The Diary of Anne Frank,1959
Hermione,Baddeley,Room at the Top,1959
Susan,Kohner,Imitation of Life,1959
Thelma,Ritter,Pillow Talk,1959
Shirley,Jones,Elmer Gantry,1960
Glynis,Johns,The Sundowners,1960
Shirley,Knight,The Dark at the Top of the Stairs,1960
Janet,Leigh,Psycho,1960
Mary,Ure,Sons and Lovers,1960
Rita,Moreno,West Side Story,1961
Fay,Bainter,The Children's Hour,1961
Judy,Garland,Judgment at Nuremberg,1961
Lotte,Lenya,The Roman Spring of Mrs. Stone,1961
Una,Merkel,Summer and Smoke,1961
Patty,Duke,The Miracle Worker,1962
Mary,Badham,To Kill a Mockingbird,1962
Shirley,Knight,Sweet Bird of Youth,1962
Angela,Lansbury,The Manchurian Candidate,1962
Thelma,Ritter,Birdman of Alcatraz,1962
Margaret,Rutherford,The V.I.P.s,1963
Diane,Cilento,Tom Jones,1963
Lilia,Skala,Lilies of the Field,1963
Lila,Kedrova,Zorba the Greek,1964
Gladys,Cooper,My Fair Lady,1964
Edith,Evans,The Chalk Garden,1964
Grayson,Hall,The Night of the Iguana,1964
Agnes,Moorehead,"Hush...Hush, Sweet Charlotte",1964
Shelley,Winters,A Patch of Blue,1965
Ruth,Gordon,Inside Daisy Clover,1965
Joyce,Redman,Othello,1965
Peggy,Wood,The Sound of Music,1965
Sandy,Dennis,Who's Afraid of Virginia Woolf?,1966
Wendy,Hiller,A Man for All Seasons,1966
Jocelyne,LaGarde,Hawaii,1966
Vivien,Merchant,Alfie,1966
