firstName,lastName,movieTitle,releaseYear
Thomas,L. Neff,Red Grooms: Sunflower in a Hothouse,1986
Sue,Marx,Young at Heart,1987
Frank,Daniel,In the Wee Wee Hours...,1987
Malcolm,Clarke,You Don't Have to Die,1988
Bill,Guttentag,You Don't Have to Die,1988
Karen,Goodman,The Children's Storefront,1988
Charles,Guggenheim,The Johnstown Flood,1989
Ray,Errol Fox,Yad Vashem: Preserving the Past to Ensure the Future,1989
Steven,Okazaki,Days of Waiting,1990
Kit,Thomas,Burning Down Tomorrow,1990
Karen,Goodman,Chimps: So Like Us,1990
Kirk,Simon,Chimps: So Like Us,1990
Freida,Lee Mock,Rose Kennedy: A Life to Remember,1990
Terry,Sanders,Rose Kennedy: A Life to Remember,1990
Debra,Chasnoff,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991
Éric,Valli,Birdnesters of Thailand (Shadow Hunters),1991
Immy,Humes,A Little Vicious,1991
Bill,Couturié,Memorial: Letters from American Soldiers,1991
Dorothy,Fadiman,When Abortion Was Illegal: Untold Stories,1992
Margaret,Lazarus,Defending Our Lives,1993
Renner,Wunderlich,Defending Our Lives,1993
Steven,Cantor,Blood Ties: The Life and Work of Sally Mann,1993
Peter,Spirer,Blood Ties: The Life and Work of Sally Mann,1993
Charles,Guggenheim,A Time for Justice,1994
Bill,Guttentag,Blues Highway,1994
Marcel,Łoziński,89 mm od Europy (89mm from Europe),1994
Robert,Richter,School of Assassins,1994
Dee,Mosbacher,Straight from the Heart,1994
Frances,Reid,Straight from the Heart,1994
Kary,Antholis,One Survivor Remembers,1995
Greg,MacGillivray,The Living Sea,1995
Alec,Lorimore,The Living Sea,1995
Terry,Sanders,Never Give Up: The 20th Century Odyssey of Herbert Zipper,1995
Freida,Lee Mock,Never Give Up: The 20th Century Odyssey of Herbert Zipper,1995
Charles,Guggenheim,The Shadow of Hate,1995
Jessica,Yu,Breathing Lessons: The Life and Work of Mark O'Brien,1996
Ben,Burtt,Special Effects: Anything Can Happen,1996
Kieth,Merrill,Amazon,1997
Mel,Damski,Still Kicking: The Fabulous Palm Springs Follies,1997
Andrea,Blaugrund,Still Kicking: The Fabulous Palm Springs Follies,1997
Charles,Guggenheim,A Place in the Land,1998
Jonathan,Stack,The Wildest Show in the South: The Angola Prison Rodeo,1999
Tracy,Seretean,Big Mama,2000
Chuck,Braverman,Curtain Call,2000
Greg,MacGillivray,Dolphins,2000
Alec,Lorimore,Dolphins,2000
Eric,Simonson,On Tiptoe: Gentle Steps to Freedom,2000
Sarah,Kernochan,Thoth,2001
Freida,Lee Mock,Sing!,2001
Bill,Guttentag,Twin Towers,2002
Alice,Elliott,The Collector of Bedford Street,2002
Robert,Hudson,Mighty Times: The Legacy of Rosa Parks,2002
Bobby,Houston,Mighty Times: The Legacy of Rosa Parks,2002
Katja,Esson,Ferry Tales,2003
Robert,Hudson,Mighty Times: The Children's March,2004
Robert,Houston,Mighty Times: The Children's March,2004
Hanna,Polak,The Children of Leningradsky,2004
Hubert,Davis,Hardwood,2004
Oren,Jacoby,Sister Rose's Passion,2004
Corinne,Marrinan,A Note of Triumph: The Golden Age of Norman Corwin,2005
Eric,Simonson,A Note of Triumph: The Golden Age of Norman Corwin,2005
Dan,Krauss,The Death of Kevin Carter: Casualty of the Bang Bang Club,2005
Kimberlee,Acquaro,God Sleeps in Rwanda,2005
Steven,Okazaki,The Mushroom Club,2005
Ruby,Yang,The Blood of Yingzhou District,2006
Thomas,Lennon,The Blood of Yingzhou District,2006
Leslie,Iwerks,Recycled Life,2006
Karen,Goodman,Rehearsing a Dream,2006
Kirk,Simon,Rehearsing a Dream,2006
Nathaniel,Kahn,Two Hands,2006
Cynthia,Wade,Freeheld,2007
Vanessa,Roth,Freeheld,2007
Amanda,Micheli,La Corona (The Crown),2007
James,Longley,Sari's Mother,2007
Megan,Mylan,Smile Pinki,2008
Steven,Okazaki,The Conscience of Nhem En,2008
Irene,Taylor Brodsky,The Final Inch,2008
Roger,Ross Williams,Music by Prudence,2009
Elinor,Burkett,Music by Prudence,2009
Jon,Alpert,China's Unnatural Disaster: The Tears of Sichuan Province,2009
Matthew,O'Neill,China's Unnatural Disaster: The Tears of Sichuan Province,2009
Daniel,Junge,The Last Campaign of Governor Booth Gardner,2009
Steven,Bognar,The Last Truck: Closing of a GM Plant,2009
Julia,Reichert,The Last Truck: Closing of a GM Plant,2009
Karen,Goodman,Strangers No More,2010
Kirk,Simon,Strangers No More,2010
Mitchell,Block,Poster Girl,2010
Ruby,Yang,The Warriors of Qiugang,2010
Thomas,Lennon,The Warriors of Qiugang,2010
Daniel,Junge,Saving Face,2011
Sharmeen,Obaid-Chinoy,Saving Face,2011
Robin,Fryday,The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,2011
Gail,Dolgin,The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,2011
Rebecca,Cammisa,God Is the Bigger Elvis,2011
Julie,Anderson,God Is the Bigger Elvis,2011
James,Spione,Incident in New Baghdad,2011
Lucy,Walker,The Tsunami and the Cherry Blossom,2011
Kira,Carstensen,The Tsunami and the Cherry Blossom,2011
Sean,Fine,Inocente,2012
Andrea,Nix Fine,Inocente,2012
Cynthia,Wade,Mondays at Racine,2012
Kief,Davidson,Open Heart,2012
Cori,Shepherd Stern,Open Heart,2012
Jon,Alpert,Redemption,2012
Matthew,O'Neill,Redemption,2012
Malcolm,Clarke,The Lady in Number 6: Music Saved My Life,2013
Nicholas,Reed,The Lady in Number 6: Music Saved My Life,2013
Jeffrey,Karoff,CaveDigger,2013
Jason,Cohen,Facing Fear,2013
Sara,Ishaq,Karama Has No Walls,2013
Edgar,Barens,Prison Terminal: The Last Days of Private Jack Hall,2013
Ellen,Goosenberg Kent,Crisis Hotline: Veterans Press 1,2014
Dana,Perry,Crisis Hotline: Veterans Press 1,2014
Sharmeen,Obaid-Chinoy,A Girl in the River: The Price of Forgiveness,2015
David,Darg,Body Team 12,2015
Bryn,Mooser,Body Team 12,2015
Courtney,Marsh,"Chau, Beyond the Lines",2015
Jerry,Franck,"Chau, Beyond the Lines",2015
Adam,Benzine,Claude Lanzmann: Spectres of the Shoah,2015
Dee,Hibbert-Jones,Last Day of Freedom,2015
Nomi,Talisman,Last Day of Freedom,2015
Orlando,von Einsiedel,The White Helmets,2016
Joanna,Natasegara,The White Helmets,2016
Dan,Krauss,Extremis,2016
Daphne,Matziaraki,4.1 Miles,2016
Kahane,Cooperman,Joe's Violin,2016
Raphaela,Neihausen,Joe's Violin,2016
Marcel,Mettelsiefen,Watani: My Homeland,2016
Stephen,Ellis,Watani: My Homeland,2016
Frank,Stiefel,Heaven Is a Traffic Jam on the 405,2017
Laura,Checkoway,Edith+Eddie,2017
Thomas,Lee Wright,Edith+Eddie,2017
Elaine,McMillion Sheldon,Heroin(e),2017
Kerrin,Sheldon,Heroin(e),2017
Thomas,Lennon,Knife Skills,2017
Kate,Davis,Traffic Stop,2017
David,Heilbroner,Traffic Stop,2017
Rayka,Zehtabchi,Period. End of Sentence.,2018
Rob,Epstein,End Game,2018
Jeffrey,Friedman,End Game,2018
Bryn,Mooser,Lifeboat,2018
Marshall,Curry,A Night at the Garden,2018
Carol,Dysinger,Learning to Skateboard in a Warzone (If You're a Girl),2019
Elena,Andreicheva,Learning to Skateboard in a Warzone (If You're a Girl),2019
Smriti,Mundhra,St. Louis Superman,2019
Sami,Khan,St. Louis Superman,2019
Anthony,Giacchino,Colette,2020
Alice,Doyard,Colette,2020
Ben,Proudfoot,A Concerto Is a Conversation,2020
Kris,Bowers,A Concerto Is a Conversation,2020
Anders,Hammer,Do Not Split,2020
Sophia,Nahli Allison,A Love Song for Latasha,2020
Ben,Proudfoot,The Queen of Basketball,2021
Matthew,Ogens,Audible,2021
Jon,Shenk,Lead Me Home,2021
Jay,Rosenblatt,When We Were Bullies,2021
Kartiki,Gonsalves,The Elephant Whisperers,2022
Guneet,Monga,The Elephant Whisperers,2022
Evgenia,Arbugaeva,Haulout,2022
Jay,Rosenblatt,How Do You Measure a Year?,2022
Beth,Levison,The Martha Mitchell Effect,2022
Joshua,Seftel,Stranger at the Gate,2022
Ben,Proudfoot,The Last Repair Shop,2023
Kris,Bowers,The Last Repair Shop,2023
Sheila,Nevins,The ABCs of Book Banning,2023
S.,Leo Chiang,Island in Between,2023
Sean,Wang,Nǎi Nai & Wài Pó,2023
Kim,A. Snyder,Death by Numbers,2024
Smriti,Mundhra,"I Am Ready, Warden",2024
Maya,Gnyp,"I Am Ready, Warden",2024
Bill,Morrison,Incident,2024
Ema,Ryan Yamazaki,Instruments of a Beating Heart,2024
