firstName,lastName,movieTitle,releaseYear
Jack,Nicholson,Terms of Endearment,1983
Charles,Durning,To Be or Not to Be,1983
John,Lithgow,Terms of Endearment,1983
Sam,Shepard,The Right Stuff,1983
Rip,Torn,Cross Creek,1983
Haing,S. Ngor,The Killing Fields,1984
Adolph,Caesar,A Soldier's Story,1984
John,Malkovich,Places in the Heart,1984
Pat,Morita,The Karate Kid,1984
Ralph,Richardson,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984
Don,Ameche,Cocoon,1985
Klaus,Maria Brandauer,Out of Africa,1985
William,Hickey,Prizzi's Honor,1985
Robert,Loggia,Jagged Edge,1985
Eric,Roberts,Runaway Train,1985
Michael,Caine,Hannah and Her Sisters,1986
Tom,Berenger,Platoon,1986
Denholm,Elliott,A Room with a View,1986
Dennis,Hopper,Hoosiers,1986
Sean,Connery,The Untouchables,1987
Albert,Brooks,Broadcast News,1987
Morgan,Freeman,Street Smart,1987
Vincent,Gardenia,Moonstruck,1987
Denzel,Washington,Cry Freedom,1987
Kevin,Kline,A Fish Called Wanda,1988
Alec,Guinness,Little Dorrit,1988
Martin,Landau,Tucker: The Man and His Dream,1988
River,Phoenix,Running on Empty,1988
Dean,Stockwell,Married to the Mob,1988
Denzel,Washington,Glory,1989
Danny,Aiello,Do the Right Thing,1989
Dan,Aykroyd,Driving Miss Daisy,1989
Marlon,Brando,A Dry White Season,1989
Martin,Landau,Crimes and Misdemeanors,1989
Joe,Pesci,GoodFellas,1990
Bruce,Davison,Longtime Companion,1990
Andy,García,The Godfather Part III,1990
Graham,Greene,Dances with Wolves,1990
Al,Pacino,Dick Tracy,1990
Jack,Palance,City Slickers,1991
Tommy,Lee Jones,JFK,1991
Harvey,Keitel,Bugsy,1991
Michael,Lerner,Barton Fink,1991
Gene,Hackman,Unforgiven,1992
Jaye,Davidson,The Crying Game,1992
Jack,Nicholson,A Few Good Men,1992
Al,Pacino,Glengarry Glen Ross,1992
David,Paymer,Mr. Saturday Night,1992
Tommy,Lee Jones,The Fugitive,1993
Leonardo,DiCaprio,What's Eating Gilbert Grape,1993
Ralph,Fiennes,Schindler's List,1993
John,Malkovich,In the Line of Fire,1993
Pete,Postlethwaite,In the Name of the Father,1993
Martin,Landau,Ed Wood,1994
Samuel,L. Jackson,Pulp Fiction,1994
Chazz,Palminteri,Bullets over Broadway,1994
Paul,Scofield,Quiz Show,1994
Gary,Sinise,Forrest Gump,1994
Kevin,Spacey,The Usual Suspects,1995
James,Cromwell,Babe,1995
Ed,Harris,Apollo 13,1995
Brad,Pitt,12 Monkeys,1995
Tim,Roth,Rob Roy,1995
Cuba,Gooding Jr.,Jerry Maguire,1996
William,H. Macy,Fargo,1996
Armin,Mueller-Stahl,Shine,1996
Edward,Norton,Primal Fear,1996
James,Woods,Ghosts of Mississippi,1996
Robin,Williams,Good Will Hunting,1997
Robert,Forster,Jackie Brown,1997
Anthony,Hopkins,Amistad,1997
Greg,Kinnear,As Good as It Gets,1997
Burt,Reynolds,Boogie Nights,1997
James,Coburn,Affliction,1998
Robert,Duvall,A Civil Action,1998
Ed,Harris,The Truman Show,1998
Geoffrey,Rush,Shakespeare in Love,1998
Billy,Bob Thornton,A Simple Plan,1998
Michael,Caine,The Cider House Rules,1999
Tom,Cruise,Magnolia,1999
Michael,Clarke Duncan,The Green Mile,1999
Jude,Law,The Talented Mr. Ripley,1999
Haley,Joel Osment,The Sixth Sense,1999
Benicio,del Toro,Traffic,2000
Jeff,Bridges,The Contender,2000
Willem,Dafoe,Shadow of the Vampire,2000
Albert,Finney,Erin Brockovich,2000
Joaquin,Phoenix,Gladiator,2000
Jim,Broadbent,Iris,2001
Ethan,Hawke,Training Day,2001
Ben,Kingsley,Sexy Beast,2001
Ian,McKellen,The Lord of the Rings: The Fellowship of the Ring,2001
Jon,Voight,Ali,2001
Chris,Cooper,Adaptation,2002
Ed,Harris,The Hours,2002
Paul,Newman,Road to Perdition,2002
John,C. Reilly,Chicago,2002
Christopher,Walken,Catch Me If You Can,2002
Tim,Robbins,Mystic River,2003
Alec,Baldwin,The Cooler,2003
Benicio,del Toro,21 Grams,2003
Djimon,Hounsou,In America,2003
Ken,Watanabe,The Last Samurai,2003
Morgan,Freeman,Million Dollar Baby,2004
Alan,Alda,The Aviator,2004
Thomas,Haden Church,Sideways,2004
Jamie,Foxx,Collateral,2004
Clive,Owen,Closer,2004
George,Clooney,Syriana,2005
Matt,Dillon,Crash,2005
Paul,Giamatti,Cinderella Man,2005
Jake,Gyllenhaal,Brokeback Mountain,2005
William,Hurt,A History of Violence,2005
Alan,Arkin,Little Miss Sunshine,2006
Jackie,Earle Haley,Little Children,2006
Djimon,Hounsou,Blood Diamond,2006
Eddie,Murphy,Dreamgirls,2006
Mark,Wahlberg,The Departed,2006
Javier,Bardem,No Country for Old Men,2007
Casey,Affleck,The Assassination of Jesse James by the Coward Robert Ford,2007
Philip,Seymour Hoffman,Charlie Wilson's War,2007
Hal,Holbrook,Into the Wild,2007
Tom,Wilkinson,Michael Clayton,2007
Heath,Ledger,The Dark Knight,2008
Josh,Brolin,Milk,2008
Robert,Downey Jr.,Tropic Thunder,2008
Philip,Seymour Hoffman,Doubt,2008
Michael,Shannon,Revolutionary Road,2008
Christoph,Waltz,Inglourious Basterds,2009
Matt,Damon,Invictus,2009
Woody,Harrelson,The Messenger,2009
Christopher,Plummer,The Last Station,2009
Stanley,Tucci,The Lovely Bones,2009
Christian,Bale,The Fighter,2010
John,Hawkes,Winter's Bone,2010
Jeremy,Renner,The Town,2010
Mark,Ruffalo,The Kids Are All Right,2010
Geoffrey,Rush,The King's Speech,2010
Christopher,Plummer,Beginners,2011
Kenneth,Branagh,My Week with Marilyn,2011
Jonah,Hill,Moneyball,2011
Nick,Nolte,Warrior,2011
Max,von Sydow,Extremely Loud & Incredibly Close,2011
Christoph,Waltz,Django Unchained,2012
Alan,Arkin,Argo,2012
Robert,De Niro,Silver Linings Playbook,2012
Philip,Seymour Hoffman,The Master,2012
Tommy,Lee Jones,Lincoln,2012
