firstName,lastName,movieTitle,releaseYear
John,R. Dilworth,The Chicken from Outer Space,1995
Chris,Landreth,The End,1995
Chris,Bailey,Runaway Brain,1995
Thomas,Stellmach,Quest,1996
Richard,Condie,La Salla,1996
Peter,Lord,Wat's Pig,1996
Jan,Pinkava,Geri's Game,1997
Joanna,Quinn,Famous Fred,1997
Aleksandr,Petrov,The Mermaid,1997
Sylvain,Chomet,The Old Lady and the Pigeons,1997
Chris,Wedge,Bunny,1998
Jonathan,Myerson,The Canterbury Tales,1998
Mark,Baker,Jolly Roger,1998
Mark,Osborne,More,1998
Karsten,Kiilerich,When Life Departs,1998
Aleksandr,Petrov,The Old Man and the Sea,1999
Paul,Driessen,3 Misses,1999
Torill,Kove,My Grandmother Ironed the King's Shirts,1999
Wendy,Tilby and Amanda Forbis,When the Day Breaks,1999
Michaël,Dudok de Wit,Father and Daughter,2000
Don,Hertzfeldt,Rejected,2000
Ralph,Eggleston,For the Birds,2001
Ruairí,Robinson,Fifty Percent Grey,2001
Cordell,Barker,Strange Invaders,2001
Tomek,Baginski,The Cathedral,2002
Pete,Docter,Mike's New Car,2002
Kōji,Yamamura,Mt. Head,2002
Adam,Elliot,Harvie Krumpet,2003
Bud,Luckey,Boundin',2003
Roy,E. Disney,Destino,2003
Dominique,Monféry,Destino,2003
Carlos,Saldanha,Gone Nutty,2003
Chris,Hinton,Nibbles,2003
Chris,Landreth,Ryan,2004
Jeff,Fowler,Gopher Broke,2004
Tim,Miller,Gopher Broke,2004
Bill,Plympton,Guard Dog,2004
Mike,Gabriel,Lorenzo,2004
John,Canemaker,The Moon and the Son: An Imagined Conversation,2005
Shane,Acker,9,2005
Mark,Andrews,One Man Band,2005
Torill,Kove,The Danish Poet,2006
Gary,Rydstrom,Lifted,2006
Roger,Allers,The Little Matchgirl,2006
Don,Hahn,The Little Matchgirl,2006
Géza,M. Tóth,Maestro,2006
Chris,Renaud,No Time for Nuts,2006
Mike,Thurmeier,No Time for Nuts,2006
Suzie,Templeton,Peter & the Wolf,2007
Hugh,Welchman,Peter & the Wolf,2007
Chris,Lavis,Madame Tutli-Putli,2007
Maciek,Szczerbowski,Madame Tutli-Putli,2007
Aleksandr,Petrov,My Love,2007
Kunio,Katō,La Maison en Petits Cubes,2008
Konstantin,Bronzit,Lavatory – Lovestory,2008
Emud,Mokhberi,Oktapodi,2008
Doug,Sweetland,Presto,2008
Darragh,O'Connell,Granny O'Grimm's Sleeping Beauty,2009
Nicky,Phelan,Granny O'Grimm's Sleeping Beauty,2009
Nick,Park,A Matter of Loaf and Death,2009
Shaun,Tan,The Lost Thing,2010
Teddy,Newton,Day & Night,2010
Max,Lang,The Gruffalo,2010
Geefwee,Boedoe,Let's Pollute,2010
William,Joyce,The Fantastic Flying Books of Mr. Morris Lessmore,2011
Brandon,Oldenburg,The Fantastic Flying Books of Mr. Morris Lessmore,2011
Enrico,Casarosa,La Luna,2011
Sue,Goffe,A Morning Stroll,2011
Grant,Orchard,A Morning Stroll,2011
Patrick,Doyon,Sunday,2011
Amanda,Forbis & Wendy Tilby,Wild Life,2011
John,Kahrs,Paperman,2012
PES,,Fresh Guacamole,2012
Fodhla,Cronin O'Reilly,Head Over Heels,2012
Timothy,Reckart,Head Over Heels,2012
David,Silverman,The Longest Daycare,2012
Laurent,Witz,Mr Hublot,2013
Alexandre,Espigares,Mr Hublot,2013
Daniel,Sousa,Feral,2013
Dan,Golden,Feral,2013
Lauren,MacMullan,Get a Horse!,2013
Dorothy,McKim,Get a Horse!,2013
Shuhei,Morita,Possessions,2013
Max,Lang,Room on the Broom,2013
Jan,Lachauer,Room on the Broom,2013
Patrick,Osborne,Feast,2014
Kristina,Reed,Feast,2014
Dice,Tsutsumi,The Dam Keeper,2014
Torill,Kove,Me and My Moulton,2014
Pato,Escala Pierart,Bear Story,2015
Gabriel,Osorio Vargas,Bear Story,2015
Imogen,Sutton,Prologue,2015
Richard,Williams,Prologue,2015
Sanjay,Patel,Sanjay's Super Team,2015
Nicole,Paradis Grindle,Sanjay's Super Team,2015
Konstantin,Bronzit,We Can't Live Without Cosmos,2015
Don,Hertzfeldt,World of Tomorrow,2015
Alan,Barillaro,Piper,2016
Marc,Sondheimer,Piper,2016
Theodore,Ushev,Blind Vaysha,2016
Andrew,Coats,Borrowed Time,2016
Lou,Hamou-Lhadj,Borrowed Time,2016
Cara,Speller,Pear Cider and Cigarettes,2016
